Approach,Judge,Iteration,Criterion,Sum_Satisfied,Mean_Satisfied,STD_Satisfied
Model_Alone,claude,0,Completeness,42,0.955,0.208
Model_Alone,claude,0,Step_concordance,21,0.477,0.499
Model_Alone,claude,0,Case_tailoring,29,0.659,0.474
Model_Alone,claude,0,Missing_data_concordance,10,0.227,0.419
Model_Studies,claude,0,Completeness,40,0.909,0.287
Model_Studies,claude,0,Step_concordance,23,0.523,0.499
Model_Studies,claude,0,Case_tailoring,32,0.727,0.445
Model_Studies,claude,0,Missing_data_concordance,18,0.409,0.492
Model_Workflow,claude,0,Completeness,40,0.909,0.287
Model_Workflow,claude,0,Step_concordance,30,0.682,0.466
Model_Workflow,claude,0,Case_tailoring,36,0.818,0.386
Model_Workflow,claude,0,Missing_data_concordance,22,0.5,0.5
Model_Workflow_Studies,claude,0,Completeness,42,0.955,0.208
Model_Workflow_Studies,claude,0,Step_concordance,24,0.545,0.498
Model_Workflow_Studies,claude,0,Case_tailoring,40,0.909,0.287
Model_Workflow_Studies,claude,0,Missing_data_concordance,25,0.568,0.495
Model_Alone,claude,1,Completeness,42,0.955,0.208
Model_Alone,claude,1,Step_concordance,21,0.477,0.499
Model_Alone,claude,1,Case_tailoring,30,0.682,0.466
Model_Alone,claude,1,Missing_data_concordance,11,0.25,0.433
Model_Studies,claude,1,Completeness,43,0.977,0.149
Model_Studies,claude,1,Step_concordance,23,0.523,0.499
Model_Studies,claude,1,Case_tailoring,33,0.75,0.433
Model_Studies,claude,1,Missing_data_concordance,18,0.409,0.492
Model_Workflow,claude,1,Completeness,41,0.932,0.252
Model_Workflow,claude,1,Step_concordance,30,0.682,0.466
Model_Workflow,claude,1,Case_tailoring,34,0.773,0.419
Model_Workflow,claude,1,Missing_data_concordance,24,0.545,0.498
Model_Workflow_Studies,claude,1,Completeness,43,0.977,0.149
Model_Workflow_Studies,claude,1,Step_concordance,23,0.523,0.499
Model_Workflow_Studies,claude,1,Case_tailoring,39,0.886,0.317
Model_Workflow_Studies,claude,1,Missing_data_concordance,23,0.523,0.499
Model_Alone,claude,2,Completeness,42,0.955,0.208
Model_Alone,claude,2,Step_concordance,20,0.455,0.498
Model_Alone,claude,2,Case_tailoring,28,0.636,0.481
Model_Alone,claude,2,Missing_data_concordance,11,0.25,0.433
Model_Studies,claude,2,Completeness,43,0.977,0.149
Model_Studies,claude,2,Step_concordance,23,0.523,0.499
Model_Studies,claude,2,Case_tailoring,35,0.795,0.403
Model_Studies,claude,2,Missing_data_concordance,18,0.409,0.492
Model_Workflow,claude,2,Completeness,40,0.909,0.287
Model_Workflow,claude,2,Step_concordance,30,0.682,0.466
Model_Workflow,claude,2,Case_tailoring,34,0.773,0.419
Model_Workflow,claude,2,Missing_data_concordance,21,0.477,0.499
Model_Workflow_Studies,claude,2,Completeness,43,0.977,0.149
Model_Workflow_Studies,claude,2,Step_concordance,24,0.545,0.498
Model_Workflow_Studies,claude,2,Case_tailoring,40,0.909,0.287
Model_Workflow_Studies,claude,2,Missing_data_concordance,25,0.568,0.495
Model_Alone,gpt,0,Completeness,13,0.295,0.456
Model_Alone,gpt,0,Step_concordance,16,0.364,0.481
Model_Alone,gpt,0,Case_tailoring,3,0.068,0.252
Model_Alone,gpt,0,Missing_data_concordance,6,0.136,0.343
Model_Studies,gpt,0,Completeness,17,0.386,0.487
Model_Studies,gpt,0,Step_concordance,15,0.341,0.474
Model_Studies,gpt,0,Case_tailoring,4,0.091,0.287
Model_Studies,gpt,0,Missing_data_concordance,4,0.091,0.287
Model_Workflow,gpt,0,Completeness,25,0.568,0.495
Model_Workflow,gpt,0,Step_concordance,25,0.568,0.495
