Approach,Judge,Iteration,Criterion,Normalized_Mean_Satisfied
Model_Alone,claude,0,Completeness,0.971
Model_Alone,claude,0,Step_concordance,0.333
Model_Alone,claude,0,Case_tailoring,0.576
Model_Alone,claude,0,Missing_data_concordance,0.0
Model_Studies,claude,0,Completeness,0.909
Model_Studies,claude,0,Step_concordance,0.395
Model_Studies,claude,0,Case_tailoring,0.667
Model_Studies,claude,0,Missing_data_concordance,0.243
Model_Workflow,claude,0,Completeness,0.909
Model_Workflow,claude,0,Step_concordance,0.607
Model_Workflow,claude,0,Case_tailoring,0.788
Model_Workflow,claude,0,Missing_data_concordance,0.364
Model_Workflow_Studies,claude,0,Completeness,0.971
Model_Workflow_Studies,claude,0,Step_concordance,0.424
Model_Workflow_Studies,claude,0,Case_tailoring,0.909
Model_Workflow_Studies,claude,0,Missing_data_concordance,0.455
Model_Alone,claude,1,Completeness,0.971
Model_Alone,claude,1,Step_concordance,0.333
Model_Alone,claude,1,Case_tailoring,0.607
Model_Alone,claude,1,Missing_data_concordance,0.031
Model_Studies,claude,1,Completeness,1.0
Model_Studies,claude,1,Step_concordance,0.395
Model_Studies,claude,1,Case_tailoring,0.697
Model_Studies,claude,1,Missing_data_concordance,0.243
Model_Workflow,claude,1,Completeness,0.94
Model_Workflow,claude,1,Step_concordance,0.607
Model_Workflow,claude,1,Case_tailoring,0.728
Model_Workflow,claude,1,Missing_data_concordance,0.424
Model_Workflow_Studies,claude,1,Completeness,1.0
Model_Workflow_Studies,claude,1,Step_concordance,0.395
Model_Workflow_Studies,claude,1,Case_tailoring,0.879
Model_Workflow_Studies,claude,1,Missing_data_concordance,0.395
Model_Alone,claude,2,Completeness,0.971
Model_Alone,claude,2,Step_concordance,0.304
Model_Alone,claude,2,Case_tailoring,0.545
Model_Alone,claude,2,Missing_data_concordance,0.031
Model_Studies,claude,2,Completeness,1.0
Model_Studies,claude,2,Step_concordance,0.395
Model_Studies,claude,2,Case_tailoring,0.757
Model_Studies,claude,2,Missing_data_concordance,0.243
Model_Workflow,claude,2,Completeness,0.909
Model_Workflow,claude,2,Step_concordance,0.607
Model_Workflow,claude,2,Case_tailoring,0.728
Model_Workflow,claude,2,Missing_data_concordance,0.333
Model_Workflow_Studies,claude,2,Completeness,1.0
Model_Workflow_Studies,claude,2,Step_concordance,0.424
Model_Workflow_Studies,claude,2,Case_tailoring,0.909
Model_Workflow_Studies,claude,2,Missing_data_concordance,0.455
Model_Alone,gpt,0,Completeness,0.4
Model_Alone,gpt,0,Step_concordance,0.521
Model_Alone,gpt,0,Case_tailoring,0.0
Model_Alone,gpt,0,Missing_data_concordance,0.12
Model_Studies,gpt,0,Completeness,0.56
Model_Studies,gpt,0,Step_concordance,0.481
Model_Studies,gpt,0,Case_tailoring,0.04
Model_Studies,gpt,0,Missing_data_concordance,0.04
Model_Workflow,gpt,0,Completeness,0.88
Model_Workflow,gpt,0,Step_concordance,0.88
Model_Workflow,gpt,0,Case_tailoring,0.081
Model_Workflow,gpt,0,Missing_data_concordance,0.0
Model_Workflow_Studies,gpt,0,Completeness,0.641
Model_Workflow_Studies,gpt,0,Step_concordance,0.521
Model_Workflow_Studies,gpt,0,Case_tailoring,0.241
Model_Workflow_Studies,gpt,0,Missing_data_concordance,0.16
Model_Alone,gpt,1,Completeness,0.481
Model_Alone,gpt,1,Step_concordance,0.481
Model_Alone,gpt,1,Case_tailoring,0.081
Model_Alone,gpt,1,Missing_data_concordance,0.081
Model_Studies,gpt,1,Completeness,0.761
Model_Studies,gpt,1,Step_concordance,0.641
Model_Studies,gpt,1,Case_tailoring,0.081
Model_Studies,gpt,1,Missing_data_concordance,0.04
Model_Workflow,gpt,1,Completeness,0.961
Model_Workflow,gpt,1,Step_concordance,0.921
Model_Workflow,gpt,1,Case_tailoring,0.12
Model_Workflow,gpt,1,Missing_data_concordance,0.04
