Approach,Judge,Iteration,Criterion,Sum_Satisfied,Mean_Satisfied,STD_Satisfied
Model_Alone,claude,0,Completeness,90,0.9,0.3
Model_Alone,claude,0,Step_concordance,63,0.63,0.483
Model_Alone,claude,0,Case_tailoring,63,0.63,0.483
Model_Alone,claude,0,Missing_data_concordance,52,0.52,0.5
Model_Studies,claude,0,Completeness,89,0.89,0.313
Model_Studies,claude,0,Step_concordance,70,0.7,0.458
Model_Studies,claude,0,Case_tailoring,74,0.74,0.439
Model_Studies,claude,0,Missing_data_concordance,55,0.55,0.497
Model_Workflow,claude,0,Completeness,97,0.97,0.171
Model_Workflow,claude,0,Step_concordance,69,0.69,0.462
Model_Workflow,claude,0,Case_tailoring,82,0.82,0.384
Model_Workflow,claude,0,Missing_data_concordance,58,0.58,0.494
Model_Workflow_Studies,claude,0,Completeness,91,0.91,0.286
Model_Workflow_Studies,claude,0,Step_concordance,70,0.7,0.458
Model_Workflow_Studies,claude,0,Case_tailoring,79,0.79,0.407
Model_Workflow_Studies,claude,0,Missing_data_concordance,64,0.64,0.48
Model_Alone,claude,1,Completeness,90,0.9,0.3
Model_Alone,claude,1,Step_concordance,63,0.63,0.483
Model_Alone,claude,1,Case_tailoring,60,0.6,0.49
Model_Alone,claude,1,Missing_data_concordance,53,0.53,0.499
Model_Studies,claude,1,Completeness,89,0.89,0.313
Model_Studies,claude,1,Step_concordance,71,0.71,0.454
Model_Studies,claude,1,Case_tailoring,75,0.75,0.433
Model_Studies,claude,1,Missing_data_concordance,56,0.56,0.496
Model_Workflow,claude,1,Completeness,96,0.96,0.196
Model_Workflow,claude,1,Step_concordance,69,0.69,0.462
Model_Workflow,claude,1,Case_tailoring,81,0.81,0.392
Model_Workflow,claude,1,Missing_data_concordance,58,0.58,0.494
Model_Workflow_Studies,claude,1,Completeness,92,0.92,0.271
Model_Workflow_Studies,claude,1,Step_concordance,68,0.68,0.466
Model_Workflow_Studies,claude,1,Case_tailoring,80,0.8,0.4
Model_Workflow_Studies,claude,1,Missing_data_concordance,64,0.64,0.48
Model_Alone,claude,2,Completeness,91,0.91,0.286
Model_Alone,claude,2,Step_concordance,65,0.65,0.477
Model_Alone,claude,2,Case_tailoring,62,0.62,0.485
Model_Alone,claude,2,Missing_data_concordance,53,0.53,0.499
Model_Studies,claude,2,Completeness,89,0.89,0.313
Model_Studies,claude,2,Step_concordance,71,0.71,0.454
Model_Studies,claude,2,Case_tailoring,74,0.74,0.439
Model_Studies,claude,2,Missing_data_concordance,53,0.53,0.499
Model_Workflow,claude,2,Completeness,96,0.96,0.196
Model_Workflow,claude,2,Step_concordance,69,0.69,0.462
Model_Workflow,claude,2,Case_tailoring,83,0.83,0.376
Model_Workflow,claude,2,Missing_data_concordance,59,0.59,0.492
Model_Workflow_Studies,claude,2,Completeness,91,0.91,0.286
Model_Workflow_Studies,claude,2,Step_concordance,68,0.68,0.466
Model_Workflow_Studies,claude,2,Case_tailoring,80,0.8,0.4
Model_Workflow_Studies,claude,2,Missing_data_concordance,63,0.63,0.483
Model_Alone,gpt,0,Completeness,54,0.54,0.498
Model_Alone,gpt,0,Step_concordance,47,0.47,0.499
