Judge,Criterion,Mean STD Across Approaches,"ICC(3,1)"
claude,Completeness,0.029,0.875 (0.44-0.99)
claude,Step_concordance,0.119,0.975 (0.85-1.0)
claude,Case_tailoring,0.119,0.948 (0.71-1.0)
claude,Missing_data_concordance,0.09,0.956 (0.75-1.0)
gpt,Completeness,0.102,0.468 (0-0.95)
gpt,Step_concordance,0.099,0.662 (0.01-0.97)
gpt,Case_tailoring,0.056,-0.034 (0-0.8)
gpt,Missing_data_concordance,0.073,0.795 (0.23-0.98)
llama,Completeness,0.056,0.873 (0.43-0.99)
llama,Step_concordance,0.06,0.61 (0-0.97)
llama,Case_tailoring,0.049,0.433 (0-0.94)
llama,Missing_data_concordance,0.039,0.156 (0-0.88)
