Approach,Judge,Iteration,Criterion,Normalized_Mean_Satisfied
Model_Alone,claude,0,Completeness,0.95
Model_Alone,claude,0,Step_concordance,0.175
Model_Alone,claude,0,Case_tailoring,0.375
Model_Alone,claude,0,Missing_data_concordance,0.0
Model_Studies,claude,0,Completeness,0.9
Model_Studies,claude,0,Step_concordance,0.25
Model_Studies,claude,0,Case_tailoring,0.475
Model_Studies,claude,0,Missing_data_concordance,0.075
Model_Workflow,claude,0,Completeness,0.975
Model_Workflow,claude,0,Step_concordance,0.5
Model_Workflow,claude,0,Case_tailoring,0.6
Model_Workflow,claude,0,Missing_data_concordance,0.125
Model_Workflow_Studies,claude,0,Completeness,0.925
Model_Workflow_Studies,claude,0,Step_concordance,0.375
Model_Workflow_Studies,claude,0,Case_tailoring,0.65
Model_Workflow_Studies,claude,0,Missing_data_concordance,0.225
Model_Alone,claude,1,Completeness,0.975
Model_Alone,claude,1,Step_concordance,0.175
Model_Alone,claude,1,Case_tailoring,0.45
Model_Alone,claude,1,Missing_data_concordance,0.0
Model_Studies,claude,1,Completeness,0.9
Model_Studies,claude,1,Step_concordance,0.275
Model_Studies,claude,1,Case_tailoring,0.425
Model_Studies,claude,1,Missing_data_concordance,0.125
Model_Workflow,claude,1,Completeness,0.975
Model_Workflow,claude,1,Step_concordance,0.5
Model_Workflow,claude,1,Case_tailoring,0.65
Model_Workflow,claude,1,Missing_data_concordance,0.1
Model_Workflow_Studies,claude,1,Completeness,0.95
Model_Workflow_Studies,claude,1,Step_concordance,0.425
Model_Workflow_Studies,claude,1,Case_tailoring,0.7
Model_Workflow_Studies,claude,1,Missing_data_concordance,0.25
Model_Alone,claude,2,Completeness,1.0
Model_Alone,claude,2,Step_concordance,0.225
Model_Alone,claude,2,Case_tailoring,0.4
Model_Alone,claude,2,Missing_data_concordance,0.025
Model_Studies,claude,2,Completeness,0.925
Model_Studies,claude,2,Step_concordance,0.275
Model_Studies,claude,2,Case_tailoring,0.475
Model_Studies,claude,2,Missing_data_concordance,0.1
