Case_N,Domain,Metric,Mean,STD
1,tumor_biology,TSR,50.0,50.0
1,tumor_biology,Exact_Match_P,0.5,0.5
1,primary_tumor_status,TSR,100.0,0.0
1,primary_tumor_status,Exact_Match_P,1.0,0.0
1,liver_metastases,TSR,90.5,25.135
1,liver_metastases,Exact_Match_P,0.875,0.331
1,extrahepatic_disease,TSR,100.0,0.0
1,extrahepatic_disease,Exact_Match_P,1.0,0.0
1,imaging,TSR,66.222,27.763
1,imaging,Exact_Match_P,0.444,0.416
1,systemic_therapy,TSR,77.75,28.639
1,systemic_therapy,Exact_Match_P,0.625,0.415
1,surgical_planning,TSR,69.333,29.227
1,surgical_planning,Exact_Match_P,0.333,0.471
2,tumor_biology,TSR,60.5,40.009
2,tumor_biology,Exact_Match_P,0.5,0.5
2,primary_tumor_status,TSR,72.0,34.293
2,primary_tumor_status,Exact_Match_P,0.6,0.49
2,liver_metastases,TSR,83.0,29.445
2,liver_metastases,Exact_Match_P,0.75,0.433
2,extrahepatic_disease,TSR,62.6,45.99
2,extrahepatic_disease,Exact_Match_P,0.6,0.49
2,imaging,TSR,60.667,28.767
2,imaging,Exact_Match_P,0.5,0.408
2,systemic_therapy,TSR,100.0,0.0
2,systemic_therapy,Exact_Match_P,1.0,0.0
2,surgical_planning,TSR,66.667,47.14
2,surgical_planning,Exact_Match_P,0.667,0.471
3,tumor_biology,TSR,65.0,35.0
3,tumor_biology,Exact_Match_P,0.5,0.5
3,primary_tumor_status,TSR,56.0,44.006
3,primary_tumor_status,Exact_Match_P,0.5,0.5
3,liver_metastases,TSR,73.0,34.957
3,liver_metastases,Exact_Match_P,0.375,0.484
3,extrahepatic_disease,TSR,86.0,28.0
3,extrahepatic_disease,Exact_Match_P,0.8,0.4
3,imaging,TSR,77.333,32.056
3,imaging,Exact_Match_P,0.667,0.471
3,systemic_therapy,TSR,89.75,10.733
3,systemic_therapy,Exact_Match_P,0.625,0.415
3,surgical_planning,TSR,43.333,41.899
3,surgical_planning,Exact_Match_P,0.333,0.471
4,tumor_biology,TSR,75.0,43.301
4,tumor_biology,Exact_Match_P,0.75,0.433
4,primary_tumor_status,TSR,56.0,44.006
4,primary_tumor_status,Exact_Match_P,0.5,0.5
4,liver_metastases,TSR,85.25,22.286
4,liver_metastases,Exact_Match_P,0.5,0.5
4,extrahepatic_disease,TSR,16.8,7.6
4,extrahepatic_disease,Exact_Match_P,0.0,0.0
4,imaging,TSR,100.0,0.0
4,imaging,Exact_Match_P,0.889,0.157
4,systemic_therapy,TSR,95.25,8.227
4,systemic_therapy,Exact_Match_P,0.875,0.217
4,surgical_planning,TSR,81.333,26.399
4,surgical_planning,Exact_Match_P,0.667,0.471
5,tumor_biology,TSR,75.0,43.301
5,tumor_biology,Exact_Match_P,0.75,0.433
5,primary_tumor_status,TSR,47.4,42.954
5,primary_tumor_status,Exact_Match_P,0.4,0.49
5,liver_metastases,TSR,90.5,25.135
5,liver_metastases,Exact_Match_P,0.875,0.331
5,extrahepatic_disease,TSR,80.0,40.0
5,extrahepatic_disease,Exact_Match_P,0.8,0.4
5,imaging,TSR,100.0,0.0
5,imaging,Exact_Match_P,0.917,0.118
5,systemic_therapy,TSR,91.25,8.814
5,systemic_therapy,Exact_Match_P,0.625,0.415
5,surgical_planning,TSR,35.333,6.182
5,surgical_planning,Exact_Match_P,0.0,0.0
6,tumor_biology,TSR,75.0,43.301
6,tumor_biology,Exact_Match_P,0.75,0.433
6,primary_tumor_status,TSR,100.0,0.0
6,primary_tumor_status,Exact_Match_P,1.0,0.0
6,liver_metastases,TSR,100.0,0.0
6,liver_metastases,Exact_Match_P,1.0,0.0
6,extrahepatic_disease,TSR,100.0,0.0
6,extrahepatic_disease,Exact_Match_P,1.0,0.0
6,imaging,TSR,76.778,32.841
6,imaging,Exact_Match_P,0.556,0.416
6,systemic_therapy,TSR,95.25,8.227
6,systemic_therapy,Exact_Match_P,0.875,0.217
6,surgical_planning,TSR,100.0,0.0
6,surgical_planning,Exact_Match_P,1.0,0.0
7,tumor_biology,TSR,100.0,0.0
7,tumor_biology,Exact_Match_P,1.0,0.0
7,primary_tumor_status,TSR,77.75,38.538
7,primary_tumor_status,Exact_Match_P,0.75,0.433
7,liver_metastases,TSR,82.5,30.311
7,liver_metastases,Exact_Match_P,0.75,0.433
7,extrahepatic_disease,TSR,82.6,34.8
7,extrahepatic_disease,Exact_Match_P,0.8,0.4
7,imaging,TSR,68.111,27.921
7,imaging,Exact_Match_P,0.556,0.416
7,systemic_therapy,TSR,93.75,10.825
7,systemic_therapy,Exact_Match_P,0.875,0.217
7,surgical_planning,TSR,37.333,44.582
7,surgical_planning,Exact_Match_P,0.333,0.471
8,tumor_biology,TSR,59.5,42.67
8,tumor_biology,Exact_Match_P,0.5,0.5
8,primary_tumor_status,TSR,82.2,35.6
8,primary_tumor_status,Exact_Match_P,0.8,0.4
8,liver_metastases,TSR,74.625,32.76
8,liver_metastases,Exact_Match_P,0.625,0.484
8,extrahepatic_disease,TSR,100.0,0.0
8,extrahepatic_disease,Exact_Match_P,1.0,0.0
8,imaging,TSR,100.0,0.0
8,imaging,Exact_Match_P,1.0,0.0
8,systemic_therapy,TSR,83.5,20.414
8,systemic_therapy,Exact_Match_P,0.5,0.5
8,surgical_planning,TSR,24.667,18.355
8,surgical_planning,Exact_Match_P,0.0,0.0
9,tumor_biology,TSR,75.0,43.301
9,tumor_biology,Exact_Match_P,0.75,0.433
9,primary_tumor_status,TSR,65.2,42.621
9,primary_tumor_status,Exact_Match_P,0.6,0.49
9,liver_metastases,TSR,61.75,38.606
9,liver_metastases,Exact_Match_P,0.375,0.484
9,extrahepatic_disease,TSR,100.0,0.0
9,extrahepatic_disease,Exact_Match_P,1.0,0.0
9,imaging,TSR,93.083,9.782
9,imaging,Exact_Match_P,0.833,0.236
9,systemic_therapy,TSR,96.0,6.928
9,systemic_therapy,Exact_Match_P,0.75,0.433
9,surgical_planning,TSR,50.333,27.354
9,surgical_planning,Exact_Match_P,0.167,0.236
10,tumor_biology,TSR,75.0,43.301
10,tumor_biology,Exact_Match_P,0.75,0.433
10,primary_tumor_status,TSR,100.0,0.0
10,primary_tumor_status,Exact_Match_P,1.0,0.0
