Case_N,Domain,Metric,Mean,STD
1,tumor_biology,TSR,100.0,0.0
1,tumor_biology,Exact_Match_P,1.0,0.0
1,primary_tumor_status,TSR,100.0,0.0
1,primary_tumor_status,Exact_Match_P,1.0,0.0
1,liver_metastases,TSR,81.0,32.909
1,liver_metastases,Exact_Match_P,0.75,0.433
1,extrahepatic_disease,TSR,,
1,extrahepatic_disease,Exact_Match_P,,
1,imaging,TSR,66.667,0.0
1,imaging,Exact_Match_P,0.333,0.0
1,systemic_therapy,TSR,93.667,8.957
1,systemic_therapy,Exact_Match_P,0.833,0.236
1,surgical_planning,TSR,78.0,0.0
1,surgical_planning,Exact_Match_P,0.0,0.0
2,tumor_biology,TSR,100.0,0.0
2,tumor_biology,Exact_Match_P,1.0,0.0
2,primary_tumor_status,TSR,,
2,primary_tumor_status,Exact_Match_P,,
2,liver_metastases,TSR,100.0,0.0
2,liver_metastases,Exact_Match_P,1.0,0.0
2,extrahepatic_disease,TSR,,
2,extrahepatic_disease,Exact_Match_P,,
2,imaging,TSR,50.0,0.0
2,imaging,Exact_Match_P,0.5,0.0
2,systemic_therapy,TSR,100.0,0.0
2,systemic_therapy,Exact_Match_P,1.0,0.0
2,surgical_planning,TSR,100.0,0.0
2,surgical_planning,Exact_Match_P,1.0,0.0
3,tumor_biology,TSR,100.0,0.0
3,tumor_biology,Exact_Match_P,1.0,0.0
3,primary_tumor_status,TSR,,
3,primary_tumor_status,Exact_Match_P,,
3,liver_metastases,TSR,80.5,33.775
3,liver_metastases,Exact_Match_P,0.25,0.433
3,extrahepatic_disease,TSR,,
3,extrahepatic_disease,Exact_Match_P,,
3,imaging,TSR,100.0,0.0
3,imaging,Exact_Match_P,1.0,0.0
3,systemic_therapy,TSR,86.333,10.339
3,systemic_therapy,Exact_Match_P,0.5,0.408
3,surgical_planning,TSR,100.0,0.0
3,surgical_planning,Exact_Match_P,1.0,0.0
4,tumor_biology,TSR,66.667,47.14
4,tumor_biology,Exact_Match_P,0.667,0.471
4,primary_tumor_status,TSR,,
4,primary_tumor_status,Exact_Match_P,,
4,liver_metastases,TSR,86.75,14.025
4,liver_metastases,Exact_Match_P,0.25,0.433
4,extrahepatic_disease,TSR,,
4,extrahepatic_disease,Exact_Match_P,,
4,imaging,TSR,100.0,0.0
4,imaging,Exact_Match_P,0.667,0.0
4,systemic_therapy,TSR,93.667,8.957
4,systemic_therapy,Exact_Match_P,0.833,0.236
4,surgical_planning,TSR,44.0,0.0
4,surgical_planning,Exact_Match_P,0.0,0.0
5,tumor_biology,TSR,100.0,0.0
5,tumor_biology,Exact_Match_P,1.0,0.0
5,primary_tumor_status,TSR,,
5,primary_tumor_status,Exact_Match_P,,
5,liver_metastases,TSR,81.0,32.909
5,liver_metastases,Exact_Match_P,0.75,0.433
5,extrahepatic_disease,TSR,,
5,extrahepatic_disease,Exact_Match_P,,
5,imaging,TSR,100.0,0.0
5,imaging,Exact_Match_P,0.75,0.0
5,systemic_therapy,TSR,88.333,8.34
5,systemic_therapy,Exact_Match_P,0.5,0.408
5,surgical_planning,TSR,44.0,0.0
5,surgical_planning,Exact_Match_P,0.0,0.0
6,tumor_biology,TSR,100.0,0.0
6,tumor_biology,Exact_Match_P,1.0,0.0
6,primary_tumor_status,TSR,100.0,0.0
6,primary_tumor_status,Exact_Match_P,1.0,0.0
6,liver_metastases,TSR,100.0,0.0
6,liver_metastases,Exact_Match_P,1.0,0.0
6,extrahepatic_disease,TSR,,
6,extrahepatic_disease,Exact_Match_P,,
6,imaging,TSR,100.0,0.0
6,imaging,Exact_Match_P,0.667,0.0
6,systemic_therapy,TSR,93.667,8.957
6,systemic_therapy,Exact_Match_P,0.833,0.236
6,surgical_planning,TSR,100.0,0.0
6,surgical_planning,Exact_Match_P,1.0,0.0
7,tumor_biology,TSR,100.0,0.0
7,tumor_biology,Exact_Match_P,1.0,0.0
7,primary_tumor_status,TSR,100.0,0.0
7,primary_tumor_status,Exact_Match_P,1.0,0.0
7,liver_metastases,TSR,100.0,0.0
7,liver_metastases,Exact_Match_P,1.0,0.0
7,extrahepatic_disease,TSR,,
7,extrahepatic_disease,Exact_Match_P,,
7,imaging,TSR,72.333,0.0
7,imaging,Exact_Match_P,0.667,0.0
7,systemic_therapy,TSR,91.667,11.785
7,systemic_therapy,Exact_Match_P,0.833,0.236
7,surgical_planning,TSR,100.0,0.0
7,surgical_planning,Exact_Match_P,1.0,0.0
8,tumor_biology,TSR,100.0,0.0
8,tumor_biology,Exact_Match_P,1.0,0.0
8,primary_tumor_status,TSR,,
8,primary_tumor_status,Exact_Match_P,,
8,liver_metastases,TSR,100.0,0.0
8,liver_metastases,Exact_Match_P,1.0,0.0
8,extrahepatic_disease,TSR,,
8,extrahepatic_disease,Exact_Match_P,,
8,imaging,TSR,100.0,0.0
8,imaging,Exact_Match_P,1.0,0.0
8,systemic_therapy,TSR,78.0,20.849
8,systemic_therapy,Exact_Match_P,0.333,0.471
8,surgical_planning,TSR,44.0,0.0
8,surgical_planning,Exact_Match_P,0.0,0.0
9,tumor_biology,TSR,66.667,47.14
9,tumor_biology,Exact_Match_P,0.667,0.471
9,primary_tumor_status,TSR,100.0,0.0
9,primary_tumor_status,Exact_Match_P,1.0,0.0
9,liver_metastases,TSR,74.0,36.77
9,liver_metastases,Exact_Match_P,0.333,0.471
9,extrahepatic_disease,TSR,,
9,extrahepatic_disease,Exact_Match_P,,
9,imaging,TSR,79.25,0.0
9,imaging,Exact_Match_P,0.5,0.0
9,systemic_therapy,TSR,94.667,7.542
9,systemic_therapy,Exact_Match_P,0.667,0.471
9,surgical_planning,TSR,89.0,0.0
9,surgical_planning,Exact_Match_P,0.5,0.0
10,tumor_biology,TSR,100.0,0.0
10,tumor_biology,Exact_Match_P,1.0,0.0
10,primary_tumor_status,TSR,,
10,primary_tumor_status,Exact_Match_P,,
10,liver_metastases,TSR,100.0,0.0
10,liver_metastases,Exact_Match_P,0.5,0.5
10,extrahepatic_disease,TSR,,
10,extrahepatic_disease,Exact_Match_P,,
10,imaging,TSR,100.0,0.0
10,imaging,Exact_Match_P,1.0,0.0
10,systemic_therapy,TSR,89.0,10.424
10,systemic_therapy,Exact_Match_P,0.667,0.236
10,surgical_planning,TSR,78.0,0.0
10,surgical_planning,Exact_Match_P,0.0,0.0
11,tumor_biology,TSR,100.0,0.0
11,tumor_biology,Exact_Match_P,1.0,0.0
11,primary_tumor_status,TSR,,
11,primary_tumor_status,Exact_Match_P,,
11,liver_metastases,TSR,100.0,0.0
11,liver_metastases,Exact_Match_P,0.75,0.433
11,extrahepatic_disease,TSR,,
11,extrahepatic_disease,Exact_Match_P,,
11,imaging,TSR,100.0,0.0
11,imaging,Exact_Match_P,0.667,0.0
11,systemic_therapy,TSR,97.333,3.771
11,systemic_therapy,Exact_Match_P,0.833,0.236
11,surgical_planning,TSR,89.0,0.0
11,surgical_planning,Exact_Match_P,0.5,0.0
12,tumor_biology,TSR,100.0,0.0
12,tumor_biology,Exact_Match_P,1.0,0.0
12,primary_tumor_status,TSR,100.0,0.0
12,primary_tumor_status,Exact_Match_P,1.0,0.0
12,liver_metastases,TSR,100.0,0.0
12,liver_metastases,Exact_Match_P,1.0,0.0
12,extrahepatic_disease,TSR,,
12,extrahepatic_disease,Exact_Match_P,,
12,imaging,TSR,100.0,0.0
12,imaging,Exact_Match_P,1.0,0.0
12,systemic_therapy,TSR,91.667,11.785
12,systemic_therapy,Exact_Match_P,0.833,0.236
12,surgical_planning,TSR,44.0,0.0
12,surgical_planning,Exact_Match_P,0.0,0.0
13,tumor_biology,TSR,100.0,0.0
13,tumor_biology,Exact_Match_P,1.0,0.0
13,primary_tumor_status,TSR,100.0,0.0
13,primary_tumor_status,Exact_Match_P,1.0,0.0
13,liver_metastases,TSR,56.75,44.291
13,liver_metastases,Exact_Match_P,0.5,0.5
13,extrahepatic_disease,TSR,,
13,extrahepatic_disease,Exact_Match_P,,
13,imaging,TSR,100.0,0.0
13,imaging,Exact_Match_P,0.667,0.0
13,systemic_therapy,TSR,100.0,0.0
13,systemic_therapy,Exact_Match_P,1.0,0.0
13,surgical_planning,TSR,100.0,0.0
13,surgical_planning,Exact_Match_P,1.0,0.0
14,tumor_biology,TSR,100.0,0.0
14,tumor_biology,Exact_Match_P,1.0,0.0
14,primary_tumor_status,TSR,,
14,primary_tumor_status,Exact_Match_P,,
14,liver_metastases,TSR,75.0,43.301
14,liver_metastases,Exact_Match_P,0.5,0.5
14,extrahepatic_disease,TSR,,
14,extrahepatic_disease,Exact_Match_P,,
14,imaging,TSR,100.0,0.0
14,imaging,Exact_Match_P,1.0,0.0
14,systemic_therapy,TSR,100.0,0.0
14,systemic_therapy,Exact_Match_P,1.0,0.0
14,surgical_planning,TSR,44.0,0.0
14,surgical_planning,Exact_Match_P,0.0,0.0
15,tumor_biology,TSR,100.0,0.0
15,tumor_biology,Exact_Match_P,1.0,0.0
15,primary_tumor_status,TSR,100.0,0.0
15,primary_tumor_status,Exact_Match_P,1.0,0.0
15,liver_metastases,TSR,80.5,33.775
15,liver_metastases,Exact_Match_P,0.25,0.433
15,extrahepatic_disease,TSR,,
15,extrahepatic_disease,Exact_Match_P,,
15,imaging,TSR,100.0,0.0
15,imaging,Exact_Match_P,1.0,0.0
15,systemic_therapy,TSR,92.0,8.0
15,systemic_therapy,Exact_Match_P,0.5,0.5
15,surgical_planning,TSR,30.0,0.0
15,surgical_planning,Exact_Match_P,0.0,0.0
16,tumor_biology,TSR,100.0,0.0
16,tumor_biology,Exact_Match_P,1.0,0.0
16,primary_tumor_status,TSR,,
16,primary_tumor_status,Exact_Match_P,,
16,liver_metastases,TSR,100.0,0.0
16,liver_metastases,Exact_Match_P,1.0,0.0
16,extrahepatic_disease,TSR,,
16,extrahepatic_disease,Exact_Match_P,,
16,imaging,TSR,100.0,0.0
16,imaging,Exact_Match_P,0.5,0.0
16,systemic_therapy,TSR,100.0,0.0
16,systemic_therapy,Exact_Match_P,1.0,0.0
16,surgical_planning,TSR,72.0,0.0
16,surgical_planning,Exact_Match_P,0.5,0.0
17,tumor_biology,TSR,100.0,0.0
17,tumor_biology,Exact_Match_P,1.0,0.0
17,primary_tumor_status,TSR,,
17,primary_tumor_status,Exact_Match_P,,
17,liver_metastases,TSR,100.0,0.0
17,liver_metastases,Exact_Match_P,0.75,0.433
17,extrahepatic_disease,TSR,,
17,extrahepatic_disease,Exact_Match_P,,
17,imaging,TSR,100.0,0.0
17,imaging,Exact_Match_P,0.667,0.0
17,systemic_therapy,TSR,96.667,4.714
17,systemic_therapy,Exact_Match_P,0.833,0.236
17,surgical_planning,TSR,100.0,0.0
17,surgical_planning,Exact_Match_P,1.0,0.0
18,tumor_biology,TSR,,
18,tumor_biology,Exact_Match_P,,
18,primary_tumor_status,TSR,,
18,primary_tumor_status,Exact_Match_P,,
18,liver_metastases,TSR,100.0,0.0
18,liver_metastases,Exact_Match_P,1.0,0.0
18,extrahepatic_disease,TSR,,
18,extrahepatic_disease,Exact_Match_P,,
18,imaging,TSR,100.0,0.0
18,imaging,Exact_Match_P,0.667,0.0
18,systemic_therapy,TSR,100.0,0.0
18,systemic_therapy,Exact_Match_P,1.0,0.0
18,surgical_planning,TSR,57.0,0.0
18,surgical_planning,Exact_Match_P,0.5,0.0
19,tumor_biology,TSR,100.0,0.0
19,tumor_biology,Exact_Match_P,1.0,0.0
19,primary_tumor_status,TSR,,
19,primary_tumor_status,Exact_Match_P,,
19,liver_metastases,TSR,100.0,0.0
19,liver_metastases,Exact_Match_P,1.0,0.0
19,extrahepatic_disease,TSR,,
19,extrahepatic_disease,Exact_Match_P,,
19,imaging,TSR,100.0,0.0
19,imaging,Exact_Match_P,0.667,0.0
19,systemic_therapy,TSR,98.0,2.828
19,systemic_therapy,Exact_Match_P,0.667,0.471
19,surgical_planning,TSR,100.0,0.0
19,surgical_planning,Exact_Match_P,1.0,0.0
20,tumor_biology,TSR,100.0,0.0
20,tumor_biology,Exact_Match_P,1.0,0.0
20,primary_tumor_status,TSR,,
20,primary_tumor_status,Exact_Match_P,,
20,liver_metastases,TSR,100.0,0.0
20,liver_metastases,Exact_Match_P,1.0,0.0
20,extrahepatic_disease,TSR,,
20,extrahepatic_disease,Exact_Match_P,,
20,imaging,TSR,100.0,0.0
20,imaging,Exact_Match_P,0.5,0.0
20,systemic_therapy,TSR,96.667,4.714
20,systemic_therapy,Exact_Match_P,0.833,0.236
20,surgical_planning,TSR,71.333,0.0
20,surgical_planning,Exact_Match_P,0.667,0.0
21,tumor_biology,TSR,59.5,40.5
21,tumor_biology,Exact_Match_P,0.5,0.5
21,primary_tumor_status,TSR,,
21,primary_tumor_status,Exact_Match_P,,
21,liver_metastases,TSR,100.0,0.0
21,liver_metastases,Exact_Match_P,1.0,0.0
21,extrahepatic_disease,TSR,,
21,extrahepatic_disease,Exact_Match_P,,
21,imaging,TSR,100.0,0.0
21,imaging,Exact_Match_P,0.667,0.0
21,systemic_therapy,TSR,100.0,0.0
21,systemic_therapy,Exact_Match_P,1.0,0.0
21,surgical_planning,TSR,76.667,0.0
21,surgical_planning,Exact_Match_P,0.667,0.0
22,tumor_biology,TSR,,
22,tumor_biology,Exact_Match_P,,
22,primary_tumor_status,TSR,,
22,primary_tumor_status,Exact_Match_P,,
22,liver_metastases,TSR,100.0,0.0
22,liver_metastases,Exact_Match_P,1.0,0.0
22,extrahepatic_disease,TSR,,
22,extrahepatic_disease,Exact_Match_P,,
22,imaging,TSR,100.0,0.0
22,imaging,Exact_Match_P,0.667,0.0
22,systemic_therapy,TSR,100.0,0.0
22,systemic_therapy,Exact_Match_P,1.0,0.0
22,surgical_planning,TSR,72.0,0.0
22,surgical_planning,Exact_Match_P,0.5,0.0
23,tumor_biology,TSR,100.0,0.0
23,tumor_biology,Exact_Match_P,1.0,0.0
23,primary_tumor_status,TSR,,
23,primary_tumor_status,Exact_Match_P,,
23,liver_metastases,TSR,100.0,0.0
23,liver_metastases,Exact_Match_P,1.0,0.0
23,extrahepatic_disease,TSR,,
23,extrahepatic_disease,Exact_Match_P,,
23,imaging,TSR,100.0,0.0
23,imaging,Exact_Match_P,0.5,0.0
23,systemic_therapy,TSR,100.0,0.0
23,systemic_therapy,Exact_Match_P,1.0,0.0
23,surgical_planning,TSR,100.0,0.0
23,surgical_planning,Exact_Match_P,1.0,0.0
24,tumor_biology,TSR,100.0,0.0
24,tumor_biology,Exact_Match_P,1.0,0.0
24,primary_tumor_status,TSR,100.0,0.0
24,primary_tumor_status,Exact_Match_P,1.0,0.0
24,liver_metastases,TSR,71.333,40.541
24,liver_metastases,Exact_Match_P,0.667,0.471
24,extrahepatic_disease,TSR,,
24,extrahepatic_disease,Exact_Match_P,,
24,imaging,TSR,100.0,0.0
24,imaging,Exact_Match_P,1.0,0.0
24,systemic_therapy,TSR,100.0,0.0
24,systemic_therapy,Exact_Match_P,1.0,0.0
24,surgical_planning,TSR,100.0,0.0
24,surgical_planning,Exact_Match_P,1.0,0.0
25,tumor_biology,TSR,100.0,0.0
25,tumor_biology,Exact_Match_P,1.0,0.0
25,primary_tumor_status,TSR,,
25,primary_tumor_status,Exact_Match_P,,
25,liver_metastases,TSR,100.0,0.0
25,liver_metastases,Exact_Match_P,1.0,0.0
25,extrahepatic_disease,TSR,,
25,extrahepatic_disease,Exact_Match_P,,
25,imaging,TSR,100.0,0.0
25,imaging,Exact_Match_P,0.667,0.0
25,systemic_therapy,TSR,100.0,0.0
25,systemic_therapy,Exact_Match_P,1.0,0.0
25,surgical_planning,TSR,48.0,0.0
25,surgical_planning,Exact_Match_P,0.333,0.0
26,tumor_biology,TSR,100.0,0.0
26,tumor_biology,Exact_Match_P,1.0,0.0
26,primary_tumor_status,TSR,,
26,primary_tumor_status,Exact_Match_P,,
26,liver_metastases,TSR,63.75,36.458
26,liver_metastases,Exact_Match_P,0.25,0.433
26,extrahepatic_disease,TSR,,
26,extrahepatic_disease,Exact_Match_P,,
26,imaging,TSR,100.0,0.0
26,imaging,Exact_Match_P,0.5,0.0
26,systemic_therapy,TSR,82.5,1.5
26,systemic_therapy,Exact_Match_P,0.25,0.25
26,surgical_planning,TSR,100.0,0.0
26,surgical_planning,Exact_Match_P,1.0,0.0
27,tumor_biology,TSR,,
27,tumor_biology,Exact_Match_P,,
27,primary_tumor_status,TSR,,
27,primary_tumor_status,Exact_Match_P,,
27,liver_metastases,TSR,84.8,30.4
27,liver_metastases,Exact_Match_P,0.4,0.49
27,extrahepatic_disease,TSR,,
27,extrahepatic_disease,Exact_Match_P,,
27,imaging,TSR,,
27,imaging,Exact_Match_P,,
27,systemic_therapy,TSR,94.667,7.542
27,systemic_therapy,Exact_Match_P,0.667,0.471
27,surgical_planning,TSR,100.0,0.0
27,surgical_planning,Exact_Match_P,1.0,0.0
28,tumor_biology,TSR,,
28,tumor_biology,Exact_Match_P,,
28,primary_tumor_status,TSR,,
28,primary_tumor_status,Exact_Match_P,,
28,liver_metastases,TSR,100.0,0.0
28,liver_metastases,Exact_Match_P,0.667,0.471
28,extrahepatic_disease,TSR,,
28,extrahepatic_disease,Exact_Match_P,,
28,imaging,TSR,100.0,0.0
28,imaging,Exact_Match_P,1.0,0.0
28,systemic_therapy,TSR,91.833,11.549
28,systemic_therapy,Exact_Match_P,0.667,0.471
28,surgical_planning,TSR,100.0,0.0
28,surgical_planning,Exact_Match_P,1.0,0.0
29,tumor_biology,TSR,100.0,0.0
29,tumor_biology,Exact_Match_P,1.0,0.0
29,primary_tumor_status,TSR,,
29,primary_tumor_status,Exact_Match_P,,
29,liver_metastases,TSR,100.0,0.0
29,liver_metastases,Exact_Match_P,1.0,0.0
29,extrahepatic_disease,TSR,100.0,0.0
29,extrahepatic_disease,Exact_Match_P,1.0,0.0
29,imaging,TSR,15.0,0.0
29,imaging,Exact_Match_P,0.0,0.0
29,systemic_therapy,TSR,100.0,0.0
29,systemic_therapy,Exact_Match_P,1.0,0.0
29,surgical_planning,TSR,100.0,0.0
29,surgical_planning,Exact_Match_P,1.0,0.0
30,tumor_biology,TSR,100.0,0.0
30,tumor_biology,Exact_Match_P,1.0,0.0
30,primary_tumor_status,TSR,,
30,primary_tumor_status,Exact_Match_P,,
30,liver_metastases,TSR,100.0,0.0
30,liver_metastases,Exact_Match_P,1.0,0.0
