Case_N,Domain,Metric,Mean,STD
1,tumor_biology,TSR,50.0,50.0
1,tumor_biology,Exact_Match_P,0.5,0.5
1,primary_tumor_status,TSR,58.6,33.821
1,primary_tumor_status,Exact_Match_P,0.4,0.49
1,liver_metastases,TSR,91.5,22.489
1,liver_metastases,Exact_Match_P,0.875,0.331
1,extrahepatic_disease,TSR,100.0,0.0
1,extrahepatic_disease,Exact_Match_P,1.0,0.0
1,imaging,TSR,77.333,32.056
1,imaging,Exact_Match_P,0.556,0.416
1,systemic_therapy,TSR,75.75,27.261
1,systemic_therapy,Exact_Match_P,0.5,0.354
1,surgical_planning,TSR,35.333,6.182
1,surgical_planning,Exact_Match_P,0.0,0.0
2,tumor_biology,TSR,60.5,40.009
2,tumor_biology,Exact_Match_P,0.5,0.5
2,primary_tumor_status,TSR,100.0,0.0
2,primary_tumor_status,Exact_Match_P,1.0,0.0
2,liver_metastases,TSR,83.0,29.445
2,liver_metastases,Exact_Match_P,0.75,0.433
2,extrahepatic_disease,TSR,45.2,44.995
2,extrahepatic_disease,Exact_Match_P,0.4,0.49
2,imaging,TSR,77.333,32.056
2,imaging,Exact_Match_P,0.667,0.471
2,systemic_therapy,TSR,96.0,6.928
2,systemic_therapy,Exact_Match_P,0.75,0.433
2,surgical_planning,TSR,48.0,40.923
2,surgical_planning,Exact_Match_P,0.333,0.471
3,tumor_biology,TSR,65.0,35.0
3,tumor_biology,Exact_Match_P,0.5,0.5
3,primary_tumor_status,TSR,82.2,35.6
3,primary_tumor_status,Exact_Match_P,0.8,0.4
3,liver_metastases,TSR,73.0,34.957
3,liver_metastases,Exact_Match_P,0.625,0.484
3,extrahepatic_disease,TSR,86.0,28.0
3,extrahepatic_disease,Exact_Match_P,0.8,0.4
3,imaging,TSR,77.333,32.056
3,imaging,Exact_Match_P,0.667,0.471
3,systemic_therapy,TSR,66.25,34.557
3,systemic_therapy,Exact_Match_P,0.5,0.5
3,surgical_planning,TSR,24.667,18.355
3,surgical_planning,Exact_Match_P,0.0,0.0
4,tumor_biology,TSR,75.0,43.301
4,tumor_biology,Exact_Match_P,0.75,0.433
4,primary_tumor_status,TSR,54.6,37.585
4,primary_tumor_status,Exact_Match_P,0.4,0.49
4,liver_metastases,TSR,76.875,27.214
4,liver_metastases,Exact_Match_P,0.5,0.5
4,extrahepatic_disease,TSR,86.4,27.2
4,extrahepatic_disease,Exact_Match_P,0.8,0.4
4,imaging,TSR,100.0,0.0
4,imaging,Exact_Match_P,1.0,0.0
4,systemic_therapy,TSR,91.25,8.814
4,systemic_therapy,Exact_Match_P,0.625,0.415
4,surgical_planning,TSR,58.0,30.243
4,surgical_planning,Exact_Match_P,0.333,0.471
5,tumor_biology,TSR,75.0,43.301
5,tumor_biology,Exact_Match_P,0.75,0.433
5,primary_tumor_status,TSR,65.2,42.621
5,primary_tumor_status,Exact_Match_P,0.6,0.49
5,liver_metastases,TSR,90.5,25.135
5,liver_metastases,Exact_Match_P,0.625,0.484
5,extrahepatic_disease,TSR,82.6,34.8
5,extrahepatic_disease,Exact_Match_P,0.6,0.49
5,imaging,TSR,100.0,0.0
5,imaging,Exact_Match_P,0.917,0.118
5,systemic_therapy,TSR,91.25,8.814
5,systemic_therapy,Exact_Match_P,0.625,0.415
5,surgical_planning,TSR,25.333,18.571
5,surgical_planning,Exact_Match_P,0.0,0.0
6,tumor_biology,TSR,75.0,43.301
6,tumor_biology,Exact_Match_P,0.75,0.433
6,primary_tumor_status,TSR,100.0,0.0
6,primary_tumor_status,Exact_Match_P,1.0,0.0
6,liver_metastases,TSR,79.0,37.242
6,liver_metastases,Exact_Match_P,0.625,0.484
6,extrahepatic_disease,TSR,100.0,0.0
6,extrahepatic_disease,Exact_Match_P,1.0,0.0
6,imaging,TSR,76.778,32.841
6,imaging,Exact_Match_P,0.667,0.471
6,systemic_therapy,TSR,95.25,8.227
6,systemic_therapy,Exact_Match_P,0.875,0.217
6,surgical_planning,TSR,76.667,32.998
6,surgical_planning,Exact_Match_P,0.667,0.471
7,tumor_biology,TSR,100.0,0.0
7,tumor_biology,Exact_Match_P,1.0,0.0
7,primary_tumor_status,TSR,100.0,0.0
7,primary_tumor_status,Exact_Match_P,1.0,0.0
7,liver_metastases,TSR,70.0,39.686
7,liver_metastases,Exact_Match_P,0.625,0.484
7,extrahepatic_disease,TSR,16.8,7.6
7,extrahepatic_disease,Exact_Match_P,0.0,0.0
7,imaging,TSR,90.778,13.042
7,imaging,Exact_Match_P,0.889,0.157
7,systemic_therapy,TSR,93.75,10.825
7,systemic_therapy,Exact_Match_P,0.875,0.217
7,surgical_planning,TSR,39.667,36.971
7,surgical_planning,Exact_Match_P,0.167,0.236
8,tumor_biology,TSR,100.0,0.0
8,tumor_biology,Exact_Match_P,1.0,0.0
8,primary_tumor_status,TSR,100.0,0.0
8,primary_tumor_status,Exact_Match_P,1.0,0.0
8,liver_metastases,TSR,83.0,29.445
8,liver_metastases,Exact_Match_P,0.75,0.433
8,extrahepatic_disease,TSR,100.0,0.0
8,extrahepatic_disease,Exact_Match_P,1.0,0.0
8,imaging,TSR,90.778,13.042
8,imaging,Exact_Match_P,0.889,0.157
8,systemic_therapy,TSR,61.75,33.439
8,systemic_therapy,Exact_Match_P,0.25,0.433
8,surgical_planning,TSR,33.333,47.14
8,surgical_planning,Exact_Match_P,0.333,0.471
9,tumor_biology,TSR,77.75,38.538
9,tumor_biology,Exact_Match_P,0.75,0.433
9,primary_tumor_status,TSR,65.2,42.621
9,primary_tumor_status,Exact_Match_P,0.6,0.49
9,liver_metastases,TSR,68.625,33.723
9,liver_metastases,Exact_Match_P,0.375,0.484
9,extrahepatic_disease,TSR,100.0,0.0
9,extrahepatic_disease,Exact_Match_P,1.0,0.0
9,imaging,TSR,84.75,21.567
9,imaging,Exact_Match_P,0.75,0.354
9,systemic_therapy,TSR,96.0,6.928
9,systemic_therapy,Exact_Match_P,0.75,0.433
9,surgical_planning,TSR,79.0,29.698
9,surgical_planning,Exact_Match_P,0.667,0.471
10,tumor_biology,TSR,53.0,47.191
10,tumor_biology,Exact_Match_P,0.5,0.5
10,primary_tumor_status,TSR,65.5,34.507
10,primary_tumor_status,Exact_Match_P,0.5,0.5
