Case_N,Domain,Metric,Mean,STD
1,tumor_biology,TSR,50.0,50.0
1,tumor_biology,Exact_Match_P,0.5,0.5
1,primary_tumor_status,TSR,100.0,0.0
1,primary_tumor_status,Exact_Match_P,1.0,0.0
1,liver_metastases,TSR,100.0,0.0
1,liver_metastases,Exact_Match_P,1.0,0.0
1,extrahepatic_disease,TSR,,
1,extrahepatic_disease,Exact_Match_P,,
1,imaging,TSR,100.0,0.0
1,imaging,Exact_Match_P,0.667,0.0
1,systemic_therapy,TSR,91.0,7.789
1,systemic_therapy,Exact_Match_P,0.667,0.236
1,surgical_planning,TSR,44.0,0.0
1,surgical_planning,Exact_Match_P,0.0,0.0
2,tumor_biology,TSR,100.0,0.0
2,tumor_biology,Exact_Match_P,1.0,0.0
2,primary_tumor_status,TSR,,
2,primary_tumor_status,Exact_Match_P,,
2,liver_metastases,TSR,100.0,0.0
2,liver_metastases,Exact_Match_P,1.0,0.0
2,extrahepatic_disease,TSR,,
2,extrahepatic_disease,Exact_Match_P,,
2,imaging,TSR,100.0,0.0
2,imaging,Exact_Match_P,1.0,0.0
2,systemic_therapy,TSR,94.667,7.542
2,systemic_therapy,Exact_Match_P,0.667,0.471
2,surgical_planning,TSR,44.0,0.0
2,surgical_planning,Exact_Match_P,0.0,0.0
3,tumor_biology,TSR,100.0,0.0
3,tumor_biology,Exact_Match_P,1.0,0.0
3,primary_tumor_status,TSR,100.0,0.0
3,primary_tumor_status,Exact_Match_P,1.0,0.0
3,liver_metastases,TSR,80.5,33.775
3,liver_metastases,Exact_Match_P,0.75,0.433
3,extrahepatic_disease,TSR,,
3,extrahepatic_disease,Exact_Match_P,,
3,imaging,TSR,100.0,0.0
3,imaging,Exact_Match_P,1.0,0.0
3,systemic_therapy,TSR,100.0,0.0
3,systemic_therapy,Exact_Match_P,1.0,0.0
3,surgical_planning,TSR,44.0,0.0
3,surgical_planning,Exact_Match_P,0.0,0.0
4,tumor_biology,TSR,66.667,47.14
4,tumor_biology,Exact_Match_P,0.667,0.471
4,primary_tumor_status,TSR,,
4,primary_tumor_status,Exact_Match_P,,
4,liver_metastases,TSR,86.75,14.025
4,liver_metastases,Exact_Match_P,0.5,0.5
4,extrahepatic_disease,TSR,,
4,extrahepatic_disease,Exact_Match_P,,
4,imaging,TSR,100.0,0.0
4,imaging,Exact_Match_P,1.0,0.0
4,systemic_therapy,TSR,88.333,8.34
4,systemic_therapy,Exact_Match_P,0.5,0.408
4,surgical_planning,TSR,44.0,0.0
4,surgical_planning,Exact_Match_P,0.0,0.0
5,tumor_biology,TSR,100.0,0.0
5,tumor_biology,Exact_Match_P,1.0,0.0
5,primary_tumor_status,TSR,,
5,primary_tumor_status,Exact_Match_P,,
5,liver_metastases,TSR,81.0,32.909
5,liver_metastases,Exact_Match_P,0.25,0.433
5,extrahepatic_disease,TSR,100.0,0.0
5,extrahepatic_disease,Exact_Match_P,0.0,0.0
5,imaging,TSR,100.0,0.0
5,imaging,Exact_Match_P,0.75,0.0
5,systemic_therapy,TSR,88.333,8.34
5,systemic_therapy,Exact_Match_P,0.5,0.408
5,surgical_planning,TSR,44.0,0.0
5,surgical_planning,Exact_Match_P,0.0,0.0
6,tumor_biology,TSR,100.0,0.0
6,tumor_biology,Exact_Match_P,1.0,0.0
6,primary_tumor_status,TSR,100.0,0.0
6,primary_tumor_status,Exact_Match_P,1.0,0.0
6,liver_metastases,TSR,100.0,0.0
6,liver_metastases,Exact_Match_P,0.667,0.471
6,extrahepatic_disease,TSR,,
6,extrahepatic_disease,Exact_Match_P,,
6,imaging,TSR,100.0,0.0
6,imaging,Exact_Match_P,1.0,0.0
6,systemic_therapy,TSR,93.667,8.957
6,systemic_therapy,Exact_Match_P,0.833,0.236
6,surgical_planning,TSR,100.0,0.0
6,surgical_planning,Exact_Match_P,1.0,0.0
7,tumor_biology,TSR,100.0,0.0
7,tumor_biology,Exact_Match_P,1.0,0.0
7,primary_tumor_status,TSR,100.0,0.0
7,primary_tumor_status,Exact_Match_P,1.0,0.0
7,liver_metastases,TSR,75.0,43.301
7,liver_metastases,Exact_Match_P,0.75,0.433
7,extrahepatic_disease,TSR,,
7,extrahepatic_disease,Exact_Match_P,,
7,imaging,TSR,72.333,0.0
7,imaging,Exact_Match_P,0.667,0.0
7,systemic_therapy,TSR,91.667,11.785
7,systemic_therapy,Exact_Match_P,0.833,0.236
7,surgical_planning,TSR,89.0,0.0
7,surgical_planning,Exact_Match_P,0.5,0.0
8,tumor_biology,TSR,100.0,0.0
8,tumor_biology,Exact_Match_P,1.0,0.0
8,primary_tumor_status,TSR,,
8,primary_tumor_status,Exact_Match_P,,
8,liver_metastases,TSR,100.0,0.0
8,liver_metastases,Exact_Match_P,1.0,0.0
8,extrahepatic_disease,TSR,,
8,extrahepatic_disease,Exact_Match_P,,
8,imaging,TSR,72.333,0.0
8,imaging,Exact_Match_P,0.667,0.0
8,systemic_therapy,TSR,78.0,20.849
8,systemic_therapy,Exact_Match_P,0.333,0.471
8,surgical_planning,TSR,100.0,0.0
8,surgical_planning,Exact_Match_P,1.0,0.0
9,tumor_biology,TSR,100.0,0.0
9,tumor_biology,Exact_Match_P,1.0,0.0
9,primary_tumor_status,TSR,100.0,0.0
9,primary_tumor_status,Exact_Match_P,1.0,0.0
9,liver_metastases,TSR,72.25,31.987
9,liver_metastases,Exact_Match_P,0.25,0.433
9,extrahepatic_disease,TSR,,
9,extrahepatic_disease,Exact_Match_P,,
9,imaging,TSR,54.25,0.0
9,imaging,Exact_Match_P,0.25,0.0
9,systemic_therapy,TSR,94.667,7.542
9,systemic_therapy,Exact_Match_P,0.667,0.471
9,surgical_planning,TSR,37.0,0.0
9,surgical_planning,Exact_Match_P,0.0,0.0
10,tumor_biology,TSR,100.0,0.0
10,tumor_biology,Exact_Match_P,1.0,0.0
10,primary_tumor_status,TSR,,
10,primary_tumor_status,Exact_Match_P,,
10,liver_metastases,TSR,100.0,0.0
10,liver_metastases,Exact_Match_P,0.5,0.5
10,extrahepatic_disease,TSR,,
10,extrahepatic_disease,Exact_Match_P,,
10,imaging,TSR,100.0,0.0
10,imaging,Exact_Match_P,1.0,0.0
10,systemic_therapy,TSR,89.0,10.424
