Case_N,Domain,Metric,Mean,STD
1,tumor_biology,TSR,75.0,43.301
1,tumor_biology,Exact_Match_P,0.75,0.433
1,primary_tumor_status,TSR,100.0,0.0
1,primary_tumor_status,Exact_Match_P,1.0,0.0
1,liver_metastases,TSR,83.0,29.445
1,liver_metastases,Exact_Match_P,0.5,0.5
1,extrahepatic_disease,TSR,62.6,45.99
1,extrahepatic_disease,Exact_Match_P,0.6,0.49
1,imaging,TSR,88.889,15.713
1,imaging,Exact_Match_P,0.778,0.314
1,systemic_therapy,TSR,75.75,27.261
1,systemic_therapy,Exact_Match_P,0.5,0.354
1,surgical_planning,TSR,81.333,26.399
1,surgical_planning,Exact_Match_P,0.667,0.471
2,tumor_biology,TSR,43.75,33.454
2,tumor_biology,Exact_Match_P,0.25,0.433
2,primary_tumor_status,TSR,72.0,34.293
2,primary_tumor_status,Exact_Match_P,0.6,0.49
2,liver_metastases,TSR,74.5,32.924
2,liver_metastases,Exact_Match_P,0.375,0.484
2,extrahepatic_disease,TSR,31.6,35.691
2,extrahepatic_disease,Exact_Match_P,0.2,0.4
2,imaging,TSR,77.333,32.056
2,imaging,Exact_Match_P,0.667,0.471
2,systemic_therapy,TSR,100.0,0.0
2,systemic_therapy,Exact_Match_P,1.0,0.0
2,surgical_planning,TSR,24.667,18.355
2,surgical_planning,Exact_Match_P,0.0,0.0
3,tumor_biology,TSR,82.5,30.311
3,tumor_biology,Exact_Match_P,0.75,0.433
3,primary_tumor_status,TSR,82.5,30.311
3,primary_tumor_status,Exact_Match_P,0.75,0.433
3,liver_metastases,TSR,73.25,34.658
3,liver_metastases,Exact_Match_P,0.625,0.484
3,extrahepatic_disease,TSR,40.6,30.421
3,extrahepatic_disease,Exact_Match_P,0.2,0.4
3,imaging,TSR,77.333,32.056
3,imaging,Exact_Match_P,0.667,0.471
3,systemic_therapy,TSR,80.5,33.775
3,systemic_therapy,Exact_Match_P,0.75,0.433
3,surgical_planning,TSR,43.333,41.899
3,surgical_planning,Exact_Match_P,0.333,0.471
4,tumor_biology,TSR,75.0,43.301
4,tumor_biology,Exact_Match_P,0.75,0.433
