Case_N,Domain,Metric,Mean,STD
1,tumor_biology,TSR,50.0,50.0
1,tumor_biology,Exact_Match_P,0.5,0.5
1,primary_tumor_status,TSR,100.0,0.0
1,primary_tumor_status,Exact_Match_P,1.0,0.0
1,liver_metastases,TSR,74.375,33.087
1,liver_metastases,Exact_Match_P,0.625,0.484
1,extrahepatic_disease,TSR,100.0,0.0
1,extrahepatic_disease,Exact_Match_P,1.0,0.0
1,imaging,TSR,88.889,15.713
1,imaging,Exact_Match_P,0.778,0.314
1,systemic_therapy,TSR,57.5,29.279
1,systemic_therapy,Exact_Match_P,0.25,0.25
1,surgical_planning,TSR,81.333,26.399
1,surgical_planning,Exact_Match_P,0.667,0.471
2,tumor_biology,TSR,100.0,0.0
2,tumor_biology,Exact_Match_P,0.75,0.433
2,primary_tumor_status,TSR,56.8,35.431
2,primary_tumor_status,Exact_Match_P,0.4,0.49
2,liver_metastases,TSR,91.5,22.489
2,liver_metastases,Exact_Match_P,0.875,0.331
2,extrahepatic_disease,TSR,62.6,45.99
2,extrahepatic_disease,Exact_Match_P,0.6,0.49
2,imaging,TSR,77.333,32.056
2,imaging,Exact_Match_P,0.667,0.471
2,systemic_therapy,TSR,96.0,6.928
2,systemic_therapy,Exact_Match_P,0.75,0.433
2,surgical_planning,TSR,43.333,41.899
2,surgical_planning,Exact_Match_P,0.333,0.471
3,tumor_biology,TSR,82.5,30.311
3,tumor_biology,Exact_Match_P,0.75,0.433
3,primary_tumor_status,TSR,82.5,30.311
3,primary_tumor_status,Exact_Match_P,0.75,0.433
3,liver_metastases,TSR,72.875,35.105
3,liver_metastases,Exact_Match_P,0.625,0.484
3,extrahepatic_disease,TSR,86.0,28.0
3,extrahepatic_disease,Exact_Match_P,0.8,0.4
3,imaging,TSR,77.333,32.056
3,imaging,Exact_Match_P,0.667,0.471
3,systemic_therapy,TSR,76.5,32.136
3,systemic_therapy,Exact_Match_P,0.5,0.5
3,surgical_planning,TSR,43.333,41.899
3,surgical_planning,Exact_Match_P,0.333,0.471
4,tumor_biology,TSR,100.0,0.0
4,tumor_biology,Exact_Match_P,1.0,0.0
4,primary_tumor_status,TSR,69.0,38.44
4,primary_tumor_status,Exact_Match_P,0.6,0.49
4,liver_metastases,TSR,79.0,28.883
4,liver_metastases,Exact_Match_P,0.625,0.484
4,extrahepatic_disease,TSR,100.0,0.0
4,extrahepatic_disease,Exact_Match_P,1.0,0.0
4,imaging,TSR,100.0,0.0
4,imaging,Exact_Match_P,1.0,0.0
4,systemic_therapy,TSR,95.25,8.227
4,systemic_therapy,Exact_Match_P,0.875,0.217
4,surgical_planning,TSR,76.667,32.998
4,surgical_planning,Exact_Match_P,0.667,0.471
5,tumor_biology,TSR,75.0,43.301
5,tumor_biology,Exact_Match_P,0.75,0.433
5,primary_tumor_status,TSR,65.5,34.507
5,primary_tumor_status,Exact_Match_P,0.5,0.5
5,liver_metastases,TSR,69.625,40.131
5,liver_metastases,Exact_Match_P,0.625,0.484
5,extrahepatic_disease,TSR,27.8,36.449
5,extrahepatic_disease,Exact_Match_P,0.2,0.4
5,imaging,TSR,93.083,9.782
5,imaging,Exact_Match_P,0.917,0.118
5,systemic_therapy,TSR,95.25,8.227
5,systemic_therapy,Exact_Match_P,0.875,0.217
5,surgical_planning,TSR,58.0,30.243
5,surgical_planning,Exact_Match_P,0.333,0.471
6,tumor_biology,TSR,40.75,36.561
6,tumor_biology,Exact_Match_P,0.25,0.433
6,primary_tumor_status,TSR,34.6,33.29
6,primary_tumor_status,Exact_Match_P,0.2,0.4
6,liver_metastases,TSR,37.625,37.911
6,liver_metastases,Exact_Match_P,0.25,0.433
6,extrahepatic_disease,TSR,16.8,7.6
6,extrahepatic_disease,Exact_Match_P,0.0,0.0
6,imaging,TSR,76.778,32.841
6,imaging,Exact_Match_P,0.556,0.416
6,systemic_therapy,TSR,80.25,34.208
6,systemic_therapy,Exact_Match_P,0.75,0.433
6,surgical_planning,TSR,100.0,0.0
6,surgical_planning,Exact_Match_P,1.0,0.0
7,tumor_biology,TSR,100.0,0.0
7,tumor_biology,Exact_Match_P,1.0,0.0
7,primary_tumor_status,TSR,82.2,35.6
7,primary_tumor_status,Exact_Match_P,0.8,0.4
7,liver_metastases,TSR,82.5,30.311
7,liver_metastases,Exact_Match_P,0.75,0.433
7,extrahepatic_disease,TSR,16.8,7.6
7,extrahepatic_disease,Exact_Match_P,0.0,0.0
7,imaging,TSR,90.778,13.042
7,imaging,Exact_Match_P,0.889,0.157
7,systemic_therapy,TSR,91.75,10.207
7,systemic_therapy,Exact_Match_P,0.75,0.25
7,surgical_planning,TSR,39.667,36.971
7,surgical_planning,Exact_Match_P,0.167,0.236
8,tumor_biology,TSR,41.25,36.465
8,tumor_biology,Exact_Match_P,0.25,0.433
8,primary_tumor_status,TSR,45.5,31.635
8,primary_tumor_status,Exact_Match_P,0.25,0.433
8,liver_metastases,TSR,74.375,33.087
8,liver_metastases,Exact_Match_P,0.375,0.484
8,extrahepatic_disease,TSR,16.8,7.6
8,extrahepatic_disease,Exact_Match_P,0.0,0.0
8,imaging,TSR,90.778,13.042
8,imaging,Exact_Match_P,0.889,0.157
8,systemic_therapy,TSR,79.25,35.94
8,systemic_therapy,Exact_Match_P,0.75,0.433
8,surgical_planning,TSR,43.333,41.899
8,surgical_planning,Exact_Match_P,0.333,0.471
9,tumor_biology,TSR,77.75,38.538
9,tumor_biology,Exact_Match_P,0.75,0.433
9,primary_tumor_status,TSR,100.0,0.0
9,primary_tumor_status,Exact_Match_P,1.0,0.0
9,liver_metastases,TSR,68.625,33.723
9,liver_metastases,Exact_Match_P,0.375,0.484
9,extrahepatic_disease,TSR,16.8,7.6
9,extrahepatic_disease,Exact_Match_P,0.0,0.0
9,imaging,TSR,93.083,9.782
9,imaging,Exact_Match_P,0.917,0.118
9,systemic_therapy,TSR,96.0,6.928
9,systemic_therapy,Exact_Match_P,0.75,0.433
9,surgical_planning,TSR,76.667,32.998
9,surgical_planning,Exact_Match_P,0.667,0.471
10,tumor_biology,TSR,75.0,43.301
10,tumor_biology,Exact_Match_P,0.75,0.433
10,primary_tumor_status,TSR,86.4,27.2
10,primary_tumor_status,Exact_Match_P,0.8,0.4
