Category;Criterion;Approach;Mean score
Anatomical Resectability;Completeness;LLM-baseline;4.767 (0.125)
Anatomical Resectability;Completeness;RAG-LLM;4.833 (0.17)
Anatomical Resectability;Completeness;WF-LLM;4.8 (0.283)
Anatomical Resectability;Completeness;WF-RAG-LLM;4.8 (0.141)
Anatomical Resectability;Step_concordance;LLM-baseline;4.333 (0.368)
Anatomical Resectability;Step_concordance;RAG-LLM;4.267 (0.478)
Anatomical Resectability;Step_concordance;WF-LLM;4.567 (0.368)
Anatomical Resectability;Step_concordance;WF-RAG-LLM;4.267 (0.249)
Anatomical Resectability;Case_tailoring;LLM-baseline;4.533 (0.386)
Anatomical Resectability;Case_tailoring;RAG-LLM;4.7 (0.283)
Anatomical Resectability;Case_tailoring;WF-LLM;4.733 (0.309)
Anatomical Resectability;Case_tailoring;WF-RAG-LLM;4.7 (0.141)
Anatomical Resectability;Missing_data_concordance;LLM-baseline;3.667 (0.287)
Anatomical Resectability;Missing_data_concordance;RAG-LLM;4.267 (0.411)
Anatomical Resectability;Missing_data_concordance;WF-LLM;3.967 (0.403)
Anatomical Resectability;Missing_data_concordance;WF-RAG-LLM;4.2 (0.327)
Anatomical Resectability;MDT_Decision_Concordance;LLM-baseline;4.633 (0.45)
Anatomical Resectability;MDT_Decision_Concordance;RAG-LLM;4.3 (0.566)
Anatomical Resectability;MDT_Decision_Concordance;WF-LLM;4.7 (0.424)
Anatomical Resectability;MDT_Decision_Concordance;WF-RAG-LLM;4.367 (0.33)
LM with Extra-Hepatic Disease;Completeness;LLM-baseline;4.639 (0.219)
LM with Extra-Hepatic Disease;Completeness;RAG-LLM;4.639 (0.04)
LM with Extra-Hepatic Disease;Completeness;WF-LLM;4.694 (0.104)
LM with Extra-Hepatic Disease;Completeness;WF-RAG-LLM;4.667 (0.068)
LM with Extra-Hepatic Disease;Step_concordance;LLM-baseline;4.0 (0.36)
LM with Extra-Hepatic Disease;Step_concordance;RAG-LLM;3.917 (0.246)
LM with Extra-Hepatic Disease;Step_concordance;WF-LLM;4.028 (0.219)
LM with Extra-Hepatic Disease;Step_concordance;WF-RAG-LLM;3.972 (0.322)
LM with Extra-Hepatic Disease;Case_tailoring;LLM-baseline;4.361 (0.342)
LM with Extra-Hepatic Disease;Case_tailoring;RAG-LLM;4.361 (0.432)
LM with Extra-Hepatic Disease;Case_tailoring;WF-LLM;4.389 (0.283)
LM with Extra-Hepatic Disease;Case_tailoring;WF-RAG-LLM;4.417 (0.246)
LM with Extra-Hepatic Disease;Missing_data_concordance;LLM-baseline;4.083 (0.272)
LM with Extra-Hepatic Disease;Missing_data_concordance;RAG-LLM;4.472 (0.283)
LM with Extra-Hepatic Disease;Missing_data_concordance;WF-LLM;4.111 (0.239)
LM with Extra-Hepatic Disease;Missing_data_concordance;WF-RAG-LLM;4.5 (0.245)
LM with Extra-Hepatic Disease;MDT_Decision_Concordance;LLM-baseline;4.028 (0.511)
LM with Extra-Hepatic Disease;MDT_Decision_Concordance;RAG-LLM;3.806 (0.349)
LM with Extra-Hepatic Disease;MDT_Decision_Concordance;WF-LLM;4.111 (0.258)
LM with Extra-Hepatic Disease;MDT_Decision_Concordance;WF-RAG-LLM;4.083 (0.354)
Liver Recurrences After Surgery;Completeness;LLM-baseline;4.667 (0.283)
Liver Recurrences After Surgery;Completeness;RAG-LLM;4.846 (0.063)
Liver Recurrences After Surgery;Completeness;WF-LLM;4.769 (0.217)
Liver Recurrences After Surgery;Completeness;WF-RAG-LLM;4.795 (0.096)
Liver Recurrences After Surgery;Step_concordance;LLM-baseline;3.923 (0.314)
Liver Recurrences After Surgery;Step_concordance;RAG-LLM;4.282 (0.346)
Liver Recurrences After Surgery;Step_concordance;WF-LLM;4.179 (0.476)
Liver Recurrences After Surgery;Step_concordance;WF-RAG-LLM;4.256 (0.254)
Liver Recurrences After Surgery;Case_tailoring;LLM-baseline;4.333 (0.508)
Liver Recurrences After Surgery;Case_tailoring;RAG-LLM;4.513 (0.346)
Liver Recurrences After Surgery;Case_tailoring;WF-LLM;4.487 (0.463)
Liver Recurrences After Surgery;Case_tailoring;WF-RAG-LLM;4.615 (0.274)
Liver Recurrences After Surgery;Missing_data_concordance;LLM-baseline;4.051 (0.346)
Liver Recurrences After Surgery;Missing_data_concordance;RAG-LLM;4.564 (0.316)
Liver Recurrences After Surgery;Missing_data_concordance;WF-LLM;4.282 (0.476)
Liver Recurrences After Surgery;Missing_data_concordance;WF-RAG-LLM;4.359 (0.322)
Liver Recurrences After Surgery;MDT_Decision_Concordance;LLM-baseline;3.872 (0.463)
Liver Recurrences After Surgery;MDT_Decision_Concordance;RAG-LLM;4.436 (0.31)
Liver Recurrences After Surgery;MDT_Decision_Concordance;WF-LLM;4.384 (0.453)
Liver Recurrences After Surgery;MDT_Decision_Concordance;WF-RAG-LLM;4.461 (0.274)
Metachronous LM;Completeness;LLM-baseline;4.667 (0.331)
Metachronous LM;Completeness;RAG-LLM;4.956 (0.063)
Metachronous LM;Completeness;WF-LLM;4.8 (0.283)
Metachronous LM;Completeness;WF-RAG-LLM;5.0 (0.0)
Metachronous LM;Step_concordance;LLM-baseline;4.267 (0.465)
Metachronous LM;Step_concordance;RAG-LLM;4.533 (0.34)
Metachronous LM;Step_concordance;WF-LLM;4.422 (0.44)
Metachronous LM;Step_concordance;WF-RAG-LLM;4.689 (0.245)
Metachronous LM;Case_tailoring;LLM-baseline;4.511 (0.506)
Metachronous LM;Case_tailoring;RAG-LLM;4.711 (0.319)
Metachronous LM;Case_tailoring;WF-LLM;4.667 (0.425)
Metachronous LM;Case_tailoring;WF-RAG-LLM;4.844 (0.22)
Metachronous LM;Missing_data_concordance;LLM-baseline;3.889 (0.535)
Metachronous LM;Missing_data_concordance;RAG-LLM;4.422 (0.394)
Metachronous LM;Missing_data_concordance;WF-LLM;4.2 (0.484)
Metachronous LM;Missing_data_concordance;WF-RAG-LLM;4.4 (0.381)
Metachronous LM;MDT_Decision_Concordance;LLM-baseline;4.466 (0.525)
Metachronous LM;MDT_Decision_Concordance;RAG-LLM;4.711 (0.362)
Metachronous LM;MDT_Decision_Concordance;WF-LLM;4.622 (0.488)
Metachronous LM;MDT_Decision_Concordance;WF-RAG-LLM;4.778 (0.227)
Metastases After Chemotherapy;Completeness;LLM-baseline;4.4 (0.294)
Metastases After Chemotherapy;Completeness;RAG-LLM;4.633 (0.17)
Metastases After Chemotherapy;Completeness;WF-LLM;4.5 (0.294)
Metastases After Chemotherapy;Completeness;WF-RAG-LLM;4.6 (0.141)
Metastases After Chemotherapy;Step_concordance;LLM-baseline;3.467 (0.492)
Metastases After Chemotherapy;Step_concordance;RAG-LLM;3.767 (0.464)
Metastases After Chemotherapy;Step_concordance;WF-LLM;3.633 (0.499)
Metastases After Chemotherapy;Step_concordance;WF-RAG-LLM;4.033 (0.287)
Metastases After Chemotherapy;Case_tailoring;LLM-baseline;4.0 (0.707)
Metastases After Chemotherapy;Case_tailoring;RAG-LLM;4.333 (0.464)
Metastases After Chemotherapy;Case_tailoring;WF-LLM;4.167 (0.419)
Metastases After Chemotherapy;Case_tailoring;WF-RAG-LLM;4.3 (0.327)
Metastases After Chemotherapy;Missing_data_concordance;LLM-baseline;4.3 (0.216)
Metastases After Chemotherapy;Missing_data_concordance;RAG-LLM;4.3 (0.356)
Metastases After Chemotherapy;Missing_data_concordance;WF-LLM;4.233 (0.262)
Metastases After Chemotherapy;Missing_data_concordance;WF-RAG-LLM;4.233 (0.309)
Metastases After Chemotherapy;MDT_Decision_Concordance;LLM-baseline;3.367 (0.478)
Metastases After Chemotherapy;MDT_Decision_Concordance;RAG-LLM;3.767 (0.613)
Metastases After Chemotherapy;MDT_Decision_Concordance;WF-LLM;3.7 (0.432)
Metastases After Chemotherapy;MDT_Decision_Concordance;WF-RAG-LLM;4.133 (0.386)
Molecular Cases and Complex Situations;Completeness;LLM-baseline;4.8 (0.199)
Molecular Cases and Complex Situations;Completeness;RAG-LLM;4.853 (0.082)
Molecular Cases and Complex Situations;Completeness;WF-LLM;4.773 (0.164)
Molecular Cases and Complex Situations;Completeness;WF-RAG-LLM;4.813 (0.132)
Molecular Cases and Complex Situations;Step_concordance;LLM-baseline;4.133 (0.394)
Molecular Cases and Complex Situations;Step_concordance;RAG-LLM;4.133 (0.349)
Molecular Cases and Complex Situations;Step_concordance;WF-LLM;4.173 (0.361)
Molecular Cases and Complex Situations;Step_concordance;WF-RAG-LLM;4.2 (0.364)
Molecular Cases and Complex Situations;Case_tailoring;LLM-baseline;4.48 (0.513)
Molecular Cases and Complex Situations;Case_tailoring;RAG-LLM;4.533 (0.282)
Molecular Cases and Complex Situations;Case_tailoring;WF-LLM;4.533 (0.327)
Molecular Cases and Complex Situations;Case_tailoring;WF-RAG-LLM;4.64 (0.255)
Molecular Cases and Complex Situations;Missing_data_concordance;LLM-baseline;4.307 (0.33)
Molecular Cases and Complex Situations;Missing_data_concordance;RAG-LLM;4.453 (0.186)
Molecular Cases and Complex Situations;Missing_data_concordance;WF-LLM;4.08 (0.247)
Molecular Cases and Complex Situations;Missing_data_concordance;WF-RAG-LLM;4.213 (0.296)
Molecular Cases and Complex Situations;MDT_Decision_Concordance;LLM-baseline;4.213 (0.485)
Molecular Cases and Complex Situations;MDT_Decision_Concordance;RAG-LLM;4.2 (0.341)
Molecular Cases and Complex Situations;MDT_Decision_Concordance;WF-LLM;4.227 (0.403)
Molecular Cases and Complex Situations;MDT_Decision_Concordance;WF-RAG-LLM;4.307 (0.416)
Sync. LM Post-Chemo Resectable;Completeness;LLM-baseline;4.667 (0.189)
Sync. LM Post-Chemo Resectable;Completeness;RAG-LLM;4.8 (0.216)
Sync. LM Post-Chemo Resectable;Completeness;WF-LLM;4.7 (0.283)
Sync. LM Post-Chemo Resectable;Completeness;WF-RAG-LLM;4.8 (0.163)
Sync. LM Post-Chemo Resectable;Step_concordance;LLM-baseline;4.1 (0.49)
Sync. LM Post-Chemo Resectable;Step_concordance;RAG-LLM;4.1 (0.455)
Sync. LM Post-Chemo Resectable;Step_concordance;WF-LLM;4.167 (0.492)
Sync. LM Post-Chemo Resectable;Step_concordance;WF-RAG-LLM;4.3 (0.327)
Sync. LM Post-Chemo Resectable;Case_tailoring;LLM-baseline;4.467 (0.471)
Sync. LM Post-Chemo Resectable;Case_tailoring;RAG-LLM;4.5 (0.408)
Sync. LM Post-Chemo Resectable;Case_tailoring;WF-LLM;4.5 (0.566)
Sync. LM Post-Chemo Resectable;Case_tailoring;WF-RAG-LLM;4.6 (0.283)
Sync. LM Post-Chemo Resectable;Missing_data_concordance;LLM-baseline;4.033 (0.309)
Sync. LM Post-Chemo Resectable;Missing_data_concordance;RAG-LLM;4.2 (0.374)
Sync. LM Post-Chemo Resectable;Missing_data_concordance;WF-LLM;4.267 (0.34)
