judge;criterion;comparison;mean_1;mean_2;interquartile_1;interquartile_2;mean_diff;p_raw;p_holm;significant
claude;Completeness;Model_Alone vs Model_Studies;4;5;[4, 5];[4, 5];-0.291;1.9245365799152365e-05;7.698146319660946e-05;True
claude;Completeness;Model_Alone vs Model_Workflow;4;4;[4, 5];[4, 5];-0.036;0.5752085546058813;1.0;False
claude;Completeness;Model_Alone vs Model_Workflow_Studies;4;5;[4, 5];[4, 5];-0.309;9.366605056618313e-07;5.619963033970987e-06;True
claude;Completeness;Model_Studies vs Model_Workflow;5;4;[4, 5];[4, 5];0.255;0.0001387885034788295;0.00041636551043648846;True
claude;Completeness;Model_Studies vs Model_Workflow_Studies;5;5;[4, 5];[4, 5];-0.018;0.7054569861112734;1.0;False
claude;Completeness;Model_Workflow vs Model_Workflow_Studies;4;5;[4, 5];[4, 5];-0.273;1.4902335792427693e-05;7.451167896213847e-05;True
claude;Step_concordance;Model_Alone vs Model_Studies;4;4;[3, 4];[3, 4];-0.118;0.05792766988388992;0.17378300965166976;False
claude;Step_concordance;Model_Alone vs Model_Workflow;4;4;[3, 4];[3, 5];-0.073;0.3139192621945823;0.6278385243891647;False
claude;Step_concordance;Model_Alone vs Model_Workflow_Studies;4;4;[3, 4];[3, 5];-0.291;6.356377979330778e-05;0.0003813826787598467;True
claude;Step_concordance;Model_Studies vs Model_Workflow;4;4;[3, 4];[3, 5];0.045;0.5395678003096678;0.6278385243891647;False
claude;Step_concordance;Model_Studies vs Model_Workflow_Studies;4;4;[3, 4];[3, 5];-0.173;0.01641951059892486;0.06567804239569944;False
claude;Step_concordance;Model_Workflow vs Model_Workflow_Studies;4;4;[3, 5];[3, 5];-0.218;0.009009793971731087;0.04504896985865543;True
claude;Case_tailoring;Model_Alone vs Model_Studies;4;4;[3, 4];[3, 5];-0.255;0.001060571683049398;0.004242286732197592;True
claude;Case_tailoring;Model_Alone vs Model_Workflow;4;4;[3, 4];[3, 5];-0.173;0.02833854023229565;0.0566770804645913;False
claude;Case_tailoring;Model_Alone vs Model_Workflow_Studies;4;4;[3, 4];[4, 5];-0.473;1.66890447870108e-09;1.001342687220648e-08;True
claude;Case_tailoring;Model_Studies vs Model_Workflow;4;4;[3, 5];[3, 5];0.082;0.2903348487630517;0.2903348487630517;False
claude;Case_tailoring;Model_Studies vs Model_Workflow_Studies;4;4;[3, 5];[4, 5];-0.218;0.004153785181771863;0.01246135554531559;True
claude;Case_tailoring;Model_Workflow vs Model_Workflow_Studies;4;4;[3, 5];[4, 5];-0.3;0.0004451595074397935;0.0022257975371989674;True
claude;Missing_data_concordance;Model_Alone vs Model_Studies;4;4;[2, 4];[4, 5];-0.355;0.0011633033513480254;0.0069798201080881524;True
claude;Missing_data_concordance;Model_Alone vs Model_Workflow;4;4;[2, 4];[3, 4];-0.1;0.5124032013758784;0.5124032013758784;False
claude;Missing_data_concordance;Model_Alone vs Model_Workflow_Studies;4;4;[2, 4];[3, 4];-0.282;0.013087996039913872;0.05235198415965549;False
claude;Missing_data_concordance;Model_Studies vs Model_Workflow;4;4;[4, 5];[3, 4];0.255;0.0018242351070941383;0.00912117553547069;True
claude;Missing_data_concordance;Model_Studies vs Model_Workflow_Studies;4;4;[4, 5];[3, 4];0.073;0.2172267762627319;0.4344535525254638;False
claude;Missing_data_concordance;Model_Workflow vs Model_Workflow_Studies;4;4;[3, 4];[3, 4];-0.182;0.013963094794401033;0.05235198415965549;False
claude;MDT_Decision_Concordance;Model_Alone vs Model_Studies;4;4;[2, 4];[3, 5];-0.145;0.048861036449255865;0.14658310934776758;False
claude;MDT_Decision_Concordance;Model_Alone vs Model_Workflow;4;4;[2, 4];[3, 5];-0.164;0.052095512532589774;0.14658310934776758;False
claude;MDT_Decision_Concordance;Model_Alone vs Model_Workflow_Studies;4;4;[2, 4];[3, 5];-0.4;1.095842435507554e-05;6.575054613045324e-05;True
claude;MDT_Decision_Concordance;Model_Studies vs Model_Workflow;4;4;[3, 5];[3, 5];-0.018;0.7976370486653586;0.7976370486653586;False
claude;MDT_Decision_Concordance;Model_Studies vs Model_Workflow_Studies;4;4;[3, 5];[3, 5];-0.255;0.001476699343250572;0.00738349671625286;True
claude;MDT_Decision_Concordance;Model_Workflow vs Model_Workflow_Studies;4;4;[3, 5];[3, 5];-0.236;0.008460320166171984;0.03384128066468794;True
gpt;Step_concordance;Model_Alone vs Model_Studies;4;4;[3, 5];[4, 5];-0.027;0.6764107434821456;1.0;False
gpt;Step_concordance;Model_Alone vs Model_Workflow;4;4;[3, 5];[4, 5];-0.027;0.6796216723327856;1.0;False
gpt;Step_concordance;Model_Alone vs Model_Workflow_Studies;4;4;[3, 5];[4, 5];-0.191;0.0072909501191271;0.043745700714762595;True
gpt;Step_concordance;Model_Studies vs Model_Workflow;4;4;[4, 5];[4, 5];0.0;0.9822828367228618;1.0;False
gpt;Step_concordance;Model_Studies vs Model_Workflow_Studies;4;4;[4, 5];[4, 5];-0.164;0.01825964186888649;0.07303856747554596;False
gpt;Step_concordance;Model_Workflow vs Model_Workflow_Studies;4;4;[4, 5];[4, 5];-0.164;0.014562515192556748;0.07281257596278375;False
gpt;Missing_data_concordance;Model_Alone vs Model_Studies;4;5;[3, 5];[4, 5];-0.245;0.04066967987676078;0.16267871950704313;False
gpt;Missing_data_concordance;Model_Alone vs Model_Workflow;4;4;[3, 5];[4, 5];0.0;0.9641690832406572;1.0;False
gpt;Missing_data_concordance;Model_Alone vs Model_Workflow_Studies;4;5;[3, 5];[4, 5];-0.209;0.061331968662186515;0.18399590598655954;False
