Case_N;Label;Metric;Value
1;Biomarker;TSR;20.0
1;Biomarker;Levenshtein;0.1428571428571429
1;Biomarker;Exact_Match_P;0.0
1;Biomarker_Result;TSR;100.0
1;Biomarker_Result;Levenshtein;1.0
1;Biomarker_Result;Exact_Match_P;1.0
1;Cancer_Surgery;TSR;0.0
1;Cancer_Surgery;Levenshtein;0.0
1;Cancer_Surgery;Exact_Match_P;0.0
1;Grade;TSR;100.0
1;Grade;Levenshtein;1.0
1;Grade;Exact_Match_P;1.0
1;Histological_Type;TSR;100.0
1;Histological_Type;Levenshtein;1.0
1;Histological_Type;Exact_Match_P;1.0
1;Imaging_Test;TSR;100.0
1;Imaging_Test;Levenshtein;0.24
1;Imaging_Test;Exact_Match_P;0.0
1;Invasion;TSR;100.0
1;Invasion;Levenshtein;1.0
1;Invasion;Exact_Match_P;1.0
1;Metastasis;TSR;0.0
1;Metastasis;Levenshtein;0.0
1;Metastasis;Exact_Match_P;0.0
1;Oncogene;TSR;100.0
1;Oncogene;Levenshtein;1.0
1;Oncogene;Exact_Match_P;1.0
1;Response_To_Treatment;TSR;0.0
1;Response_To_Treatment;Levenshtein;0.0
1;Response_To_Treatment;Exact_Match_P;0.0
1;Staging;TSR;0.0
1;Staging;Levenshtein;0.0
1;Staging;Exact_Match_P;0.0
1;Therapy;TSR;100.0
1;Therapy;Levenshtein;1.0
1;Therapy;Exact_Match_P;1.0
1;Tumor_Finding;TSR;100.0
1;Tumor_Finding;Levenshtein;0.3846153846153846
1;Tumor_Finding;Exact_Match_P;0.0
1;Tumor_Size;TSR;100.0
1;Tumor_Size;Levenshtein;1.0
1;Tumor_Size;Exact_Match_P;1.0
2;Biomarker;TSR;0.0
2;Biomarker;Levenshtein;0.0
2;Biomarker;Exact_Match_P;0.0
2;Biomarker_Result;TSR;100.0
2;Biomarker_Result;Levenshtein;1.0
2;Biomarker_Result;Exact_Match_P;1.0
2;Cancer_Surgery;TSR;0.0
2;Cancer_Surgery;Levenshtein;0.0
2;Cancer_Surgery;Exact_Match_P;0.0
2;Grade;TSR;100.0
2;Grade;Levenshtein;1.0
2;Grade;Exact_Match_P;1.0
2;Histological_Type;TSR;100.0
2;Histological_Type;Levenshtein;1.0
2;Histological_Type;Exact_Match_P;1.0
2;Imaging_Test;TSR;67.0
2;Imaging_Test;Levenshtein;0.33333333333333337
2;Imaging_Test;Exact_Match_P;0.0
2;Invasion;TSR;0.0
2;Invasion;Levenshtein;0.0
2;Invasion;Exact_Match_P;0.0
2;Metastasis;TSR;0.0
2;Metastasis;Levenshtein;0.0
2;Metastasis;Exact_Match_P;0.0
2;Oncogene;TSR;100.0
2;Oncogene;Levenshtein;1.0
2;Oncogene;Exact_Match_P;1.0
2;Response_To_Treatment;TSR;0.0
2;Response_To_Treatment;Levenshtein;0.0
2;Response_To_Treatment;Exact_Match_P;0.0
2;Staging;TSR;0.0
2;Staging;Levenshtein;0.0
2;Staging;Exact_Match_P;0.0
2;Therapy;TSR;100.0
2;Therapy;Levenshtein;1.0
2;Therapy;Exact_Match_P;1.0
2;Tumor_Finding;TSR;100.0
2;Tumor_Finding;Levenshtein;0.6538461538461539
2;Tumor_Finding;Exact_Match_P;0.5
2;Tumor_Size;TSR;100.0
2;Tumor_Size;Levenshtein;1.0
2;Tumor_Size;Exact_Match_P;1.0
3;Biomarker;TSR;33.0
3;Biomarker;Levenshtein;0.1428571428571429
3;Biomarker;Exact_Match_P;0.0
3;Biomarker_Result;TSR;100.0
3;Biomarker_Result;Levenshtein;1.0
3;Biomarker_Result;Exact_Match_P;1.0
3;Cancer_Surgery;TSR;0.0
3;Cancer_Surgery;Levenshtein;0.0
3;Cancer_Surgery;Exact_Match_P;0.0
3;Grade;TSR;100.0
3;Grade;Levenshtein;1.0
3;Grade;Exact_Match_P;1.0
3;Histological_Type;TSR;100.0
3;Histological_Type;Levenshtein;1.0
3;Histological_Type;Exact_Match_P;1.0
3;Imaging_Test;TSR;62.0
3;Imaging_Test;Levenshtein;0.21180555555555558
3;Imaging_Test;Exact_Match_P;0.0
3;Invasion;TSR;0.0
3;Invasion;Levenshtein;0.0
3;Invasion;Exact_Match_P;0.0
3;Metastasis;TSR;90.0
3;Metastasis;Levenshtein;0.9
3;Metastasis;Exact_Match_P;0.0
3;Oncogene;TSR;100.0
3;Oncogene;Levenshtein;1.0
3;Oncogene;Exact_Match_P;1.0
3;Response_To_Treatment;TSR;0.0
3;Response_To_Treatment;Levenshtein;0.0
3;Response_To_Treatment;Exact_Match_P;0.0
3;Staging;TSR;0.0
3;Staging;Levenshtein;0.0
3;Staging;Exact_Match_P;0.0
3;Therapy;TSR;41.5
3;Therapy;Levenshtein;0.2931034482758621
3;Therapy;Exact_Match_P;0.0
3;Tumor_Finding;TSR;96.0
3;Tumor_Finding;Levenshtein;0.9285714285714286
3;Tumor_Finding;Exact_Match_P;0.5
3;Tumor_Size;TSR;100.0
3;Tumor_Size;Levenshtein;1.0
3;Tumor_Size;Exact_Match_P;1.0
4;Biomarker;TSR;20.0
4;Biomarker;Levenshtein;0.0
4;Biomarker;Exact_Match_P;0.0
4;Biomarker_Result;TSR;0.0
4;Biomarker_Result;Levenshtein;0.0
4;Biomarker_Result;Exact_Match_P;0.0
4;Cancer_Surgery;TSR;50.0
4;Cancer_Surgery;Levenshtein;0.36363636363636365
4;Cancer_Surgery;Exact_Match_P;0.0
4;Grade;TSR;100.0
4;Grade;Levenshtein;1.0
4;Grade;Exact_Match_P;1.0
4;Histological_Type;TSR;100.0
4;Histological_Type;Levenshtein;1.0
4;Histological_Type;Exact_Match_P;1.0
4;Imaging_Test;TSR;100.0
4;Imaging_Test;Levenshtein;0.9166666666666667
4;Imaging_Test;Exact_Match_P;0.5
4;Invasion;TSR;59.0
4;Invasion;Levenshtein;0.4444444444444444
4;Invasion;Exact_Match_P;0.0
4;Metastasis;TSR;90.0
4;Metastasis;Levenshtein;0.9
4;Metastasis;Exact_Match_P;0.0
4;Oncogene;TSR;100.0
4;Oncogene;Levenshtein;1.0
4;Oncogene;Exact_Match_P;1.0
4;Response_To_Treatment;TSR;0.0
4;Response_To_Treatment;Levenshtein;0.0
4;Response_To_Treatment;Exact_Match_P;0.0
4;Staging;TSR;0.0
4;Staging;Levenshtein;0.0
4;Staging;Exact_Match_P;0.0
4;Therapy;TSR;0.0
4;Therapy;Levenshtein;0.0
4;Therapy;Exact_Match_P;0.0
4;Tumor_Finding;TSR;100.0
4;Tumor_Finding;Levenshtein;0.3076923076923077
4;Tumor_Finding;Exact_Match_P;0.0
4;Tumor_Size;TSR;100.0
4;Tumor_Size;Levenshtein;1.0
4;Tumor_Size;Exact_Match_P;1.0
5;Biomarker;TSR;0.0
5;Biomarker;Levenshtein;0.0
5;Biomarker;Exact_Match_P;0.0
