Case_N;Label;Metric;Value
1;Biomarker;TSR;20.0
1;Biomarker;Levenshtein;0.1428571428571429
1;Biomarker;Exact_Match_P;0.0
1;Biomarker_Result;TSR;100.0
1;Biomarker_Result;Levenshtein;1.0
1;Biomarker_Result;Exact_Match_P;1.0
1;Cancer_Surgery;TSR;0.0
1;Cancer_Surgery;Levenshtein;0.0
1;Cancer_Surgery;Exact_Match_P;0.0
1;Grade;TSR;0.0
1;Grade;Levenshtein;0.0
1;Grade;Exact_Match_P;0.0
1;Histological_Type;TSR;100.0
1;Histological_Type;Levenshtein;1.0
1;Histological_Type;Exact_Match_P;1.0
1;Imaging_Test;TSR;54.0
1;Imaging_Test;Levenshtein;0.4444444444444444
1;Imaging_Test;Exact_Match_P;0.0
1;Invasion;TSR;0.0
1;Invasion;Levenshtein;0.0
1;Invasion;Exact_Match_P;0.0
1;Metastasis;TSR;0.0
1;Metastasis;Levenshtein;0.0
1;Metastasis;Exact_Match_P;0.0
1;Oncogene;TSR;100.0
1;Oncogene;Levenshtein;1.0
1;Oncogene;Exact_Match_P;1.0
1;Response_To_Treatment;TSR;0.0
1;Response_To_Treatment;Levenshtein;0.0
1;Response_To_Treatment;Exact_Match_P;0.0
1;Staging;TSR;100.0
1;Staging;Levenshtein;1.0
1;Staging;Exact_Match_P;1.0
1;Therapy;TSR;0.0
1;Therapy;Levenshtein;0.0
1;Therapy;Exact_Match_P;0.0
1;Tumor_Finding;TSR;100.0
1;Tumor_Finding;Levenshtein;0.3076923076923077
1;Tumor_Finding;Exact_Match_P;0.0
1;Tumor_Size;TSR;100.0
1;Tumor_Size;Levenshtein;1.0
1;Tumor_Size;Exact_Match_P;1.0
2;Biomarker;TSR;0.0
2;Biomarker;Levenshtein;0.0
2;Biomarker;Exact_Match_P;0.0
2;Biomarker_Result;TSR;100.0
2;Biomarker_Result;Levenshtein;1.0
2;Biomarker_Result;Exact_Match_P;1.0
2;Cancer_Surgery;TSR;0.0
2;Cancer_Surgery;Levenshtein;0.0
2;Cancer_Surgery;Exact_Match_P;0.0
2;Grade;TSR;100.0
2;Grade;Levenshtein;1.0
2;Grade;Exact_Match_P;1.0
2;Histological_Type;TSR;100.0
2;Histological_Type;Levenshtein;1.0
2;Histological_Type;Exact_Match_P;1.0
2;Imaging_Test;TSR;100.0
2;Imaging_Test;Levenshtein;0.2962962962962963
2;Imaging_Test;Exact_Match_P;0.0
2;Invasion;TSR;21.0
2;Invasion;Levenshtein;0.1578947368421053
2;Invasion;Exact_Match_P;0.0
2;Metastasis;TSR;0.0
2;Metastasis;Levenshtein;0.0
2;Metastasis;Exact_Match_P;0.0
2;Oncogene;TSR;100.0
2;Oncogene;Levenshtein;1.0
2;Oncogene;Exact_Match_P;1.0
2;Response_To_Treatment;TSR;0.0
2;Response_To_Treatment;Levenshtein;0.0
2;Response_To_Treatment;Exact_Match_P;0.0
2;Staging;TSR;0.0
2;Staging;Levenshtein;0.0
2;Staging;Exact_Match_P;0.0
2;Therapy;TSR;100.0
2;Therapy;Levenshtein;1.0
2;Therapy;Exact_Match_P;1.0
2;Tumor_Finding;TSR;0.0
2;Tumor_Finding;Levenshtein;0.0
2;Tumor_Finding;Exact_Match_P;0.0
2;Tumor_Size;TSR;100.0
2;Tumor_Size;Levenshtein;1.0
2;Tumor_Size;Exact_Match_P;1.0
3;Biomarker;TSR;0.0
3;Biomarker;Levenshtein;0.0
3;Biomarker;Exact_Match_P;0.0
3;Biomarker_Result;TSR;100.0
3;Biomarker_Result;Levenshtein;1.0
3;Biomarker_Result;Exact_Match_P;1.0
3;Cancer_Surgery;TSR;0.0
3;Cancer_Surgery;Levenshtein;0.0
3;Cancer_Surgery;Exact_Match_P;0.0
3;Grade;TSR;100.0
3;Grade;Levenshtein;1.0
3;Grade;Exact_Match_P;1.0
3;Histological_Type;TSR;100.0
3;Histological_Type;Levenshtein;1.0
3;Histological_Type;Exact_Match_P;1.0
3;Imaging_Test;TSR;100.0
3;Imaging_Test;Levenshtein;0.7922705314009661
3;Imaging_Test;Exact_Match_P;0.0
3;Invasion;TSR;0.0
3;Invasion;Levenshtein;0.0
3;Invasion;Exact_Match_P;0.0
3;Metastasis;TSR;90.0
3;Metastasis;Levenshtein;0.9
3;Metastasis;Exact_Match_P;0.0
3;Oncogene;TSR;100.0
3;Oncogene;Levenshtein;1.0
3;Oncogene;Exact_Match_P;1.0
3;Response_To_Treatment;TSR;62.5
3;Response_To_Treatment;Levenshtein;0.4375
3;Response_To_Treatment;Exact_Match_P;0.0
3;Staging;TSR;35.0
3;Staging;Levenshtein;0.18181818181818177
3;Staging;Exact_Match_P;0.0
3;Therapy;TSR;69.0
3;Therapy;Levenshtein;0.5729166666666666
3;Therapy;Exact_Match_P;0.0
3;Tumor_Finding;TSR;100.0
3;Tumor_Finding;Levenshtein;0.6923076923076923
3;Tumor_Finding;Exact_Match_P;0.5
3;Tumor_Size;TSR;0.0
3;Tumor_Size;Levenshtein;0.0
3;Tumor_Size;Exact_Match_P;0.0
4;Biomarker;TSR;100.0
4;Biomarker;Levenshtein;1.0
4;Biomarker;Exact_Match_P;1.0
4;Biomarker_Result;TSR;0.0
4;Biomarker_Result;Levenshtein;0.0
4;Biomarker_Result;Exact_Match_P;0.0
4;Cancer_Surgery;TSR;100.0
4;Cancer_Surgery;Levenshtein;1.0
4;Cancer_Surgery;Exact_Match_P;1.0
4;Grade;TSR;100.0
4;Grade;Levenshtein;1.0
4;Grade;Exact_Match_P;1.0
4;Histological_Type;TSR;100.0
4;Histological_Type;Levenshtein;1.0
4;Histological_Type;Exact_Match_P;1.0
4;Imaging_Test;TSR;66.0
4;Imaging_Test;Levenshtein;0.4166666666666667
4;Imaging_Test;Exact_Match_P;0.0
4;Invasion;TSR;0.0
4;Invasion;Levenshtein;0.0
4;Invasion;Exact_Match_P;0.0
4;Metastasis;TSR;90.0
4;Metastasis;Levenshtein;0.9
4;Metastasis;Exact_Match_P;0.0
4;Oncogene;TSR;100.0
4;Oncogene;Levenshtein;1.0
4;Oncogene;Exact_Match_P;1.0
4;Response_To_Treatment;TSR;100.0
4;Response_To_Treatment;Levenshtein;1.0
4;Response_To_Treatment;Exact_Match_P;1.0
4;Staging;TSR;0.0
4;Staging;Levenshtein;0.0
4;Staging;Exact_Match_P;0.0
4;Therapy;TSR;100.0
4;Therapy;Levenshtein;1.0
4;Therapy;Exact_Match_P;1.0
4;Tumor_Finding;TSR;100.0
4;Tumor_Finding;Levenshtein;0.8
4;Tumor_Finding;Exact_Match_P;0.0
4;Tumor_Size;TSR;100.0
4;Tumor_Size;Levenshtein;1.0
4;Tumor_Size;Exact_Match_P;1.0
5;Biomarker;TSR;20.0
5;Biomarker;Levenshtein;0.0
5;Biomarker;Exact_Match_P;0.0
