;Approach;Label;Metric;Mean;STD;Median;Percentiles_25-75
0;LLM-baseline;Biomarker;TSR;63.94;47.81;100.0;[np.float64(0.0), np.float64(100.0)]
1;LLM-baseline;Biomarker_Result;TSR;71.36;44.95;100.0;[np.float64(0.0), np.float64(100.0)]
2;LLM-baseline;Cancer_Surgery;TSR;35.9;39.32;27.0;[np.float64(0.0), np.float64(67.0)]
3;LLM-baseline;Grade;TSR;99.09;9.49;100.0;[np.float64(100.0), np.float64(100.0)]
4;LLM-baseline;Histological_Type;TSR;90.0;30.0;100.0;[np.float64(100.0), np.float64(100.0)]
5;LLM-baseline;Imaging_Test;TSR;39.7;48.2;0.0;[np.float64(0.0), np.float64(100.0)]
6;LLM-baseline;Invasion;TSR;26.37;40.35;0.0;[np.float64(0.0), np.float64(53.0)]
7;LLM-baseline;Metastasis;TSR;53.55;49.07;90.0;[np.float64(0.0), np.float64(100.0)]
8;LLM-baseline;Oncogene;TSR;100.0;0.0;100.0;[np.float64(100.0), np.float64(100.0)]
9;LLM-baseline;Response_To_Treatment;TSR;71.82;44.99;100.0;[np.float64(0.0), np.float64(100.0)]
10;LLM-baseline;Staging;TSR;77.6;41.44;100.0;[np.float64(100.0), np.float64(100.0)]
11;LLM-baseline;Therapy;TSR;68.34;45.83;100.0;[np.float64(0.0), np.float64(100.0)]
12;LLM-baseline;Tumor_Finding;TSR;49.96;48.6;46.75;[np.float64(0.0), np.float64(100.0)]
13;LLM-baseline;Tumor_Size;TSR;49.22;49.43;18.0;[np.float64(0.0), np.float64(100.0)]
14;RAG-LLM;Biomarker;TSR;57.57;49.22;100.0;[np.float64(0.0), np.float64(100.0)]
15;RAG-LLM;Biomarker_Result;TSR;68.31;46.41;100.0;[np.float64(0.0), np.float64(100.0)]
16;RAG-LLM;Cancer_Surgery;TSR;30.65;35.88;22.0;[np.float64(0.0), np.float64(50.0)]
17;RAG-LLM;Grade;TSR;99.09;9.49;100.0;[np.float64(100.0), np.float64(100.0)]
18;RAG-LLM;Histological_Type;TSR;89.09;31.18;100.0;[np.float64(100.0), np.float64(100.0)]
19;RAG-LLM;Imaging_Test;TSR;53.16;49.17;100.0;[np.float64(0.0), np.float64(100.0)]
20;RAG-LLM;Invasion;TSR;31.38;43.25;0.0;[np.float64(0.0), np.float64(93.75)]
21;RAG-LLM;Metastasis;TSR;61.79;47.85;100.0;[np.float64(0.0), np.float64(100.0)]
22;RAG-LLM;Oncogene;TSR;100.0;0.0;100.0;[np.float64(100.0), np.float64(100.0)]
23;RAG-LLM;Response_To_Treatment;TSR;70.66;45.07;100.0;[np.float64(0.0), np.float64(100.0)]
24;RAG-LLM;Staging;TSR;65.75;47.24;100.0;[np.float64(0.0), np.float64(100.0)]
25;RAG-LLM;Therapy;TSR;64.6;47.35;100.0;[np.float64(0.0), np.float64(100.0)]
26;RAG-LLM;Tumor_Finding;TSR;43.19;47.48;0.0;[np.float64(0.0), np.float64(100.0)]
27;RAG-LLM;Tumor_Size;TSR;47.48;49.3;10.0;[np.float64(0.0), np.float64(100.0)]
28;WF-LLM;Biomarker;TSR;68.18;46.58;100.0;[np.float64(0.0), np.float64(100.0)]
29;WF-LLM;Biomarker_Result;TSR;65.56;45.88;100.0;[np.float64(0.0), np.float64(100.0)]
30;WF-LLM;Cancer_Surgery;TSR;31.83;38.29;4.25;[np.float64(0.0), np.float64(61.88)]
31;WF-LLM;Grade;TSR;99.09;9.49;100.0;[np.float64(100.0), np.float64(100.0)]
32;WF-LLM;Histological_Type;TSR;92.18;26.44;100.0;[np.float64(100.0), np.float64(100.0)]
33;WF-LLM;Imaging_Test;TSR;62.06;48.09;100.0;[np.float64(0.0), np.float64(100.0)]
34;WF-LLM;Invasion;TSR;25.89;39.99;0.0;[np.float64(0.0), np.float64(53.0)]
35;WF-LLM;Metastasis;TSR;45.45;49.79;0.0;[np.float64(0.0), np.float64(100.0)]
36;WF-LLM;Oncogene;TSR;100.0;0.0;100.0;[np.float64(100.0), np.float64(100.0)]
37;WF-LLM;Response_To_Treatment;TSR;73.95;43.66;100.0;[np.float64(8.5), np.float64(100.0)]
38;WF-LLM;Staging;TSR;82.73;37.8;100.0;[np.float64(100.0), np.float64(100.0)]
39;WF-LLM;Therapy;TSR;72.85;44.36;100.0;[np.float64(0.0), np.float64(100.0)]
40;WF-LLM;Tumor_Finding;TSR;51.25;48.4;77.25;[np.float64(0.0), np.float64(100.0)]
41;WF-LLM;Tumor_Size;TSR;45.32;49.13;0.0;[np.float64(0.0), np.float64(100.0)]
42;WF-RAG-LLM;Biomarker;TSR;64.55;47.84;100.0;[np.float64(0.0), np.float64(100.0)]
43;WF-RAG-LLM;Biomarker_Result;TSR;62.94;47.01;100.0;[np.float64(0.0), np.float64(100.0)]
44;WF-RAG-LLM;Cancer_Surgery;TSR;32.73;35.54;28.5;[np.float64(0.0), np.float64(47.5)]
45;WF-RAG-LLM;Grade;TSR;99.09;9.49;100.0;[np.float64(100.0), np.float64(100.0)]
46;WF-RAG-LLM;Histological_Type;TSR;90.0;30.0;100.0;[np.float64(100.0), np.float64(100.0)]
47;WF-RAG-LLM;Imaging_Test;TSR;70.93;44.93;100.0;[np.float64(0.0), np.float64(100.0)]
48;WF-RAG-LLM;Invasion;TSR;22.11;37.37;0.0;[np.float64(0.0), np.float64(35.75)]
49;WF-RAG-LLM;Metastasis;TSR;42.64;49.37;0.0;[np.float64(0.0), np.float64(100.0)]
50;WF-RAG-LLM;Oncogene;TSR;100.0;0.0;100.0;[np.float64(100.0), np.float64(100.0)]
51;WF-RAG-LLM;Response_To_Treatment;TSR;73.92;43.69;100.0;[np.float64(7.75), np.float64(100.0)]
52;WF-RAG-LLM;Staging;TSR;75.07;43.0;100.0;[np.float64(68.5), np.float64(100.0)]
53;WF-RAG-LLM;Therapy;TSR;76.45;42.33;100.0;[np.float64(100.0), np.float64(100.0)]
54;WF-RAG-LLM;Tumor_Finding;TSR;57.54;48.03;92.0;[np.float64(0.0), np.float64(100.0)]
55;WF-RAG-LLM;Tumor_Size;TSR;44.31;48.27;9.5;[np.float64(0.0), np.float64(100.0)]
56;LLM-baseline;Biomarker;Levenshtein;0.64;0.48;1.0;[np.float64(0.0), np.float64(1.0)]
57;LLM-baseline;Biomarker_Result;Levenshtein;0.71;0.45;1.0;[np.float64(0.0), np.float64(1.0)]
58;LLM-baseline;Cancer_Surgery;Levenshtein;0.27;0.33;0.16;[np.float64(0.0), np.float64(0.45)]
59;LLM-baseline;Grade;Levenshtein;0.99;0.09;1.0;[np.float64(1.0), np.float64(1.0)]
60;LLM-baseline;Histological_Type;Levenshtein;0.9;0.3;1.0;[np.float64(1.0), np.float64(1.0)]
61;LLM-baseline;Imaging_Test;Levenshtein;0.39;0.48;0.0;[np.float64(0.0), np.float64(1.0)]
62;LLM-baseline;Invasion;Levenshtein;0.24;0.4;0.0;[np.float64(0.0), np.float64(0.36)]
63;LLM-baseline;Metastasis;Levenshtein;0.54;0.49;0.9;[np.float64(0.0), np.float64(1.0)]
64;LLM-baseline;Oncogene;Levenshtein;1.0;0.0;1.0;[np.float64(1.0), np.float64(1.0)]
65;LLM-baseline;Response_To_Treatment;Levenshtein;0.72;0.45;1.0;[np.float64(0.0), np.float64(1.0)]
66;LLM-baseline;Staging;Levenshtein;0.77;0.42;1.0;[np.float64(1.0), np.float64(1.0)]
67;LLM-baseline;Therapy;Levenshtein;0.68;0.46;1.0;[np.float64(0.0), np.float64(1.0)]
68;LLM-baseline;Tumor_Finding;Levenshtein;0.48;0.48;0.32;[np.float64(0.0), np.float64(1.0)]
69;LLM-baseline;Tumor_Size;Levenshtein;0.48;0.5;0.0;[np.float64(0.0), np.float64(1.0)]
