Approach;Step;Metric;Mean_Across_Label;STD_Across_Label
LLM-baseline;Step2;TSR;59.12;23.69
LLM-baseline;Step3;TSR;64.06;22.11
RAG-LLM;Step2;TSR;56.13;22.81
RAG-LLM;Step3;TSR;63.05;21.14
WF-LLM;Step2;TSR;54.07;20.7
WF-LLM;Step3;TSR;65.45;22.66
WF-RAG-LLM;Step2;TSR;56.45;22.39
WF-RAG-LLM;Step3;TSR;65.16;22.72
LLM-baseline;Step2;Levenshtein;0.55;0.26
LLM-baseline;Step3;Levenshtein;0.63;0.23
RAG-LLM;Step2;Levenshtein;0.51;0.25
RAG-LLM;Step3;Levenshtein;0.62;0.23
WF-LLM;Step2;Levenshtein;0.5;0.23
WF-LLM;Step3;Levenshtein;0.64;0.24
WF-RAG-LLM;Step2;Levenshtein;0.52;0.25
WF-RAG-LLM;Step3;Levenshtein;0.64;0.24
LLM-baseline;Step2;Exact_Match_P;0.47;0.3
LLM-baseline;Step3;Exact_Match_P;0.61;0.27
RAG-LLM;Step2;Exact_Match_P;0.43;0.31
RAG-LLM;Step3;Exact_Match_P;0.59;0.26
WF-LLM;Step2;Exact_Match_P;0.41;0.28
WF-LLM;Step3;Exact_Match_P;0.62;0.27
WF-RAG-LLM;Step2;Exact_Match_P;0.42;0.31
WF-RAG-LLM;Step3;Exact_Match_P;0.61;0.28
