Reference_ID,Title,Author,Paragraph_N,Content,Topic
1,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,1,"_ Las metástasis hepáticas colorrectales
sincrónicas se pueden tratar con resección primaria,
simultánea o hepática. Los resultados oncológicos
relativos basados en la secuenciación del tratamiento
están poco estudiados.
_",PrimaryTumor
2,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,2,"_ Este estudio tuvo como objetivo evaluar los
resultados de supervivencia oncológica en pacientes con
metástasis hepáticas colorrectales sincrónicas tratadas
con cada una de las tres estrategias de tratamiento, con
respecto a la extirpación temprana o tardía del tumor
primario.
_",PrimaryTumor
3,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,3,"_ Análisis retrospectivo de una base de datos
mantenida prospectivamente, con coincidencia de
propensión 1:1 de variables clínico-patológicas relevantes
que comparan enfoques de hígado primero con enfoques
primarios primero/simultáneos.
_",PrimaryTumor
4,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,4,"_ Pacientes sometidos a hepatectomía con
intención curativa por metástasis hepáticas colorrectales
sincrónicas entre 2003 y 2019.
_",PrimaryTumor
5,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,5,"_ De 151 pacientes, el 23% (n=35) tuvo
un abordaje hepático primero y el 77% (n=116;
primario primero=93 y simultáneo=23) tuvo un
abordaje primario primero/simultáneo. La mediana de
seguimiento fue de 45 meses. La supervivencia libre de
recurrencia fue peor para los grupos de hígado primero
versus primario primero/simultáneo (mediana 12 versus
16 meses, p = 0,02), impulsada por la supervivencia libre
de recurrencia extrahepática a tres años del 19%, 58% y
50% para grupos de hígado primero, primario primero
y simultáneo, respectivamente. La supervivencia
general a tres años no fue significativamente diferente:
86%, 79% y 86%, respectivamente. Los resultados
oncológicos no difirieron significativamente entre los
grupos primario-primero y simultáneo (todos p >
0,4). El emparejamiento produjo 34 pacientes clínicopatológicamente similares por grupo (hígado primero =
34, primario primero = 28/simultáneo = 6). El enfoque
de hígado primero se asoció con una supervivencia
libre de recurrencia más corta (mediana de 12 frente a

23 meses, p = 0,004), impulsada por la supervivencia
libre de recurrencia extrahepática (3 años: 20 % frente
a 55 %, p = 0,04). La supervivencia general no fue
significativamente diferente a los 3 años (79% versus
80%, p = 0,95) o a los 5 años (59% versus 59%, p > 0,99).
_",PrimaryTumor
6,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,6,"_ Un enfoque de hígado primero se
asocia con una peor supervivencia libre de recurrencia
en comparación con la resección primaria o simultánea,
impulsada por la recurrencia extrahepática. Es necesario
un estudio prospectivo sobre si el riesgo oncológico se
asocia con dejar el primario _in situ_ . Se recomienda la
secuenciación del tratamiento multidisciplinario y una
vigilancia posoperatoria mejorada para los pacientes que
reciben una primera resección del hígado. _(Traducción—_
_Yesenia Rojas-Khalil)_

_",PrimaryTumor
7,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,7,"_ Colorectal cancer; Colorectal liver
metastases; Liver-first; Oncologic outcome; Primary-first;
Treatment sequencing.

n patients newly diagnosed with colorectal cancer,
15% to 25% have synchronous liver metastatic disease. [1] Multidisciplinary treatment sequencing is
needed at the outset for patients with technically resect-I
able primary and colorectal liver metastases (CRLM). [2]
The care team must sequence treatment to address both
the primary and CRLM to render patients disease-free,
often choosing 3 possible options: primary-first, liver-first,
or simultaneous resection of the primary and liver disease.
Historically, a primary-first approach was favored when
the primary metastasis is symptomatic (e.g., obstruction)
without response to systemic therapy, whereas a liver-first
approach has only more recently come into practice in the
past decade. [1,3]
Management of patients with synchronous disease
was recently reported in the prospective randomized
METASYNC trial. Boudjema et al [4] demonstrated that
simultaneous resection of the CRLM and primary cancer
compared to a primary-first approach was associated with
improved overall survival (OS) and disease-free survival
at 2 years ( _p_ = 0.05) with no difference in complication
rates between the 2 groups. This trial did not include
patients managed with a liver-first approach in which
the primary lesion is left in in situ for weeks to months,
with the potential for metastatic seeding in the interval
between liver and primary resection. [5–7] Studies by Lim
et al [8] and Esposito et al [9] have demonstrated inferior hepatic
recurrence-free survival (RFS) and/or extrahepatic RFS
(EHRFS) in patients treated with a liver-first approach
compared to primary-first, albeit with no difference in OS.
Furthermore, this topic has not been rigorously evaluated

Copyright © The American Society of Colon & Rectal Surgeons, Inc. Unauthorized reproduction of this article is prohibited.

",PrimaryTumor
8,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,8," Sutton et al: Liver-First CRLM Resection

in patients undergoing simultaneous resections of the liver
and primary, which is less commonly used but does not
leave the primary in situ. [10] Only the study by Giuliante
et al [11] investigated OS between the 3 approaches, demonstrating a minor but statistically significant survival benefit to liver-first resection in a cohort of more than 7000
patients. Importantly, RFS was generally worse for patients
managed with a primary-first versus liver-first approach,
in stark contrast with the results of Lim et al and Esposito
et al.
Given the conflicting data surrounding this clinical
question, we sought to compare outcomes with a liverfirst approach, where the primary is left in situ, versus
primary-first or simultaneous resection, where the primary cancer is removed earlier and theoretically eliminates further metastatic seeding.

_",PrimaryTumor
9,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,9,"_
We extracted data from the prospectively maintained
Oregon Health and Science University (OHSU) Liver
Resection Database at the OHSU Knight Cancer Institute
for patients undergoing curative-intent hepatectomy and
primary tumor resection for synchronous CRLM from
2003 to 2019. Any missing data within the database were
identified and integrated into the database by patient medical record review through the electronic medical record.
All patients were diagnosed with synchronous CRLM
after a high-quality multiphasic contrasted CT scan of the
chest, abdomen, and pelvis before receipt of chemotherapy or any surgical intervention. Patients managed with a
planned 2-stage hepatectomy approach and patients with
pulmonary metastatic disease at diagnosis were excluded.
We collected patient clinicopathologic characteristics
including cancer treatment details. Patients were divided
into 2 groups based on treatment sequence: the liver-first
group versus the primary-first or simultaneous resection
group. Staging for primary tumors was updated to reflect
the eighth edition of the American Joint Commission on
Cancer guidelines. The OS was measured from the date
of diagnosis, and RFS (for metastatic disease), EHRFS,
and liver metastasis RFS were measured from the date
of hepatic resection. Recurrence was identified by cross-­
sectional imaging after resection. Hepatic resections were
described per Brisbane terminology, with major hepatectomy defined as 4 or greater resected segments. [12]
No subjects were excluded from the study based
on sex and racial or ethnic origin. There were no age or
treatment-specific exclusion criteria. The retrospective
study was reviewed and approved by the Institutional
Review Board of OHSU and the Knight Cancer Institute
Clinical Research Review Committee, and a waiver was
granted for informed consent.

_",PrimaryTumor
10,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,10,"_
Descriptive statistics of clinicopathologic and perioperative variables for all patients and treatment groups were
tabulated, with the χ [2], Fisher exact, Student _t_ tests, and
ANOVA to compare groups as appropriate. Kaplan-Meier
analysis was performed to evaluate OS, RFS, and EHRFS.
Log-rank tests were performed to compare differences in
survival distributions. For selected clinicopathologic variables, Cox proportional hazards modeling was used to
estimate HRs for the outcomes of interest; variables with
a _p_ value of <0.2 on univariable analysis were included in
the initial multivariable model, followed by single backward elimination of variables.
Propensity scores for patients receiving either liver-first
or primary-first/simultaneous resection were determined
by a multivariable logistic regression model using the following variables: age, Charlson comorbidity index, primary location, primary T stage, primary N stage, receipt
of neoadjuvant radiation, receipt of preoperative and postoperative chemotherapy for liver resection, number of liver
lesions at diagnosis, distribution of liver metastases, largest liver metastasis diameter, and _KRAS_ mutational status.
After the calculation of propensity scores, patients were 1:1
matched using exact nearest neighbor matching between
treatment groups. [13] Treatment groups were compared on
demographics and clinical characteristics using unpaired
_t_ test and Fisher exact test statistics. Kaplan-Meier analysis was then used to compare oncologic outcomes between
matched groups. All statistics were 2-sided, and patients
not experiencing the event of interest were censored
at the last date of follow-up for time-to-event analyses.
Descriptive statistics and analysis of oncologic outcomes
were performed using SPSS Statistics version 26 (IBM
Corp, Armonk, NY), and propensity score matching was
performed using R version 3.6.2 (R Foundation, Vienna,
Austria), including package MatchIt.

_",PrimaryTumor
