File_Name,First_Author_Surname,Year_Publication,Title,Topic
liver_first_resection_in_patients_with_synchronous.8.pdf,Sutton,2024,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,PrimaryTumor
Hatano.pdf,Hatano,2015,Conversion to complete resection with mFOLFOX6 with bevacizumab or cetuximab based on K-ras status for unresectable colorectal liver metastasis (BECK study),PrimaryTumor
Aho.pdf,Aho,2024,"Impact of Primary Tumor Location on Demographics, Resectability, Outcomes, and Quality of Life in Finnish Metastatic Colorectal Cancer Patients (Subgroup Analysis of the RAXO Study)",PrimaryTumor
10434_2024_Article_16386.pdf,Liu,2025,The Value of Primary Tumor Resection in Patients with Liver Metastases: A 10‑Year Outcome,PrimaryTumor
MHS conférence Adam Cancer Treat Rev 2015.pdf,Adam,2015,Managing synchronous liver metastases from colorectal cancer: A multidisciplinary international consensus,PrimaryTumor
Lorenzon.pdf,Lorenzon,2017,"Tumor regression grades, K-RAS mutational profile and c-MET in colorectal liver metastases",PrimaryTumor
Arnold.pdf,Arnold,2017,Prognostic and predictive value of primary tumour side in patients with RASwild-type metastatic colorectal cancer treated with chemotherapy and EGFR directed antibodies in six randomized trials,PrimaryTumor
Goey.pdf,Goey,2018,Consensus statement on essential patient characteristics in systemic treatment trials for metastatic colorectal cancer: Supported by the ARCAD Group,PrimaryTumor
Hamfjord.pdf,Hamfjord,2022,Survival Trends of Right- and Left-Sided Colon Cancer across Four Decades: A Norwegian Population-Based Study,PrimaryTumor
Abrantes.pdf,Abrantes,2025,Association Between Colorectal Cancer Primary Features and Liver Metastases Histological Growth Patterns: Inflammation on the Primary Tumor is Associated with Desmoplastic Growth Pattern,PrimaryTumor
13304_2024_Article_1832.pdf,Emile,2024,Propensity‑score matched outcomes of resection of stage IV primary colon cancer with and without simultaneous resection of liver metastases,PrimaryTumor
Lee.pdf,Lee,2021,The efﬁcacy of anti-EGFR therapy in treating metastatic colorectal cancer differs between the middle/low rectum and the left-sided colon,PrimaryTumor
Shindoh.pdf,Shindoh,2016,KRAS Mutation Status Predicts Site-Specific Recurrence and Survival After Resection of Colorectal Liver Metastases Irrespective of Location of the Primary Lesion,PrimaryTumor
Passiglia.pdf,Passiglia,2016,Can KRAS and BRAF mutations limit the benefit of liver resection in metastatic colorectal cancer patients? A systematic review and meta-analysis,PrimaryTumor
Jan.pdf,Jana,2024,Comparison of genomic profiling of patient-matched primary colorectal and surgical resected distant metastatic (stage IV) colorectal carcinoma for drug actionability,PrimaryTumor
Benedix.pdf,Benedix,2010,"Comparison of 17,641 Patients With Right- and Left-Sided Colon Cancer: Differences in Epidemiology, Perioperative Course, Histology, and Survival",PrimaryTumor
s00423-024-03492-9.pdf,Chiba,2024,New definition of borderline resectable colorectal liver metastasis based on prognostic outcomes,PrimaryTumor
Bolhuis.pdf,Bolhuis,2020,Conversion strategies with chemotherapy plus targeted agents for colorectal cancer liver-only metastases: A systematic review,PrimaryTumor
Colorectal Disease - 2018 - Wale - Session 2  Synchronous metastatic disease liver first or primary first  The oncologist.pdf,Wale,2018,Session 2: Synchronous metastatic disease –liver first or primary first? The oncologist decides,PrimaryTumor
Boeckx.pdf,Boeckx,2017,Primary tumor sidedness has an impact on prognosis and treatment outcome in metastatic colorectal cancer: results from two randomized first-line panitumumab studies,PrimaryTumor
Vincenzi.pdf,Vincenzi,2015,Prognostic significance of K-Ras mutation rate in metastatic colorectal cancer patients,PrimaryTumor
Petrelli.pdf.pdf,Petrelli,2017,Prognostic Survival Associated With Left-Sided vs Right-Sided Colon Cancer: A Systematic Review and Meta-analysis,PrimaryTumor
